ulpin,risk_probability_raw,risk_probability,risk_band,predicted_delay_stage,delay_stage_confidence,model_version
21-012-024-553314,0.10528,0.21622,Low,Rehabilitation (R&R),0.8022,v2026-08-23T20-17-06
21-026-015-965730,0.25676,0.29032,Low,Compensation Disbursal,0.8054,v2026-08-23T20-17-06
22-018-024-953394,0.42966,0.4,Low,Compensation Disbursal,0.5709,v2026-08-23T20-17-06
21-005-007-293405,0.8144,0.71795,High,Legal Dispute,0.8145,v2026-08-23T20-17-06
09-031-010-811785,0.0625,0.14286,Low,Compensation Disbursal,0.9531,v2026-08-23T20-17-06
09-015-017-846324,0.24547,0.29032,Low,Compensation Disbursal,0.433,v2026-08-23T20-17-06
29-007-015-263678,0.85854,0.71795,High,Compensation Disbursal,0.5693,v2026-08-23T20-17-06
09-002-006-963241,0.99834,1.0,High,Legal Dispute,0.9524,v2026-08-23T20-17-06
09-044-017-574913,0.53554,0.4,Low,Rehabilitation (R&R),0.9917,v2026-08-23T20-17-06
33-031-021-496220,0.0461,0.14286,Low,Rehabilitation (R&R),0.5604,v2026-08-23T20-17-06
36-019-020-135512,0.43152,0.4,Low,Administrative Approval,0.4799,v2026-08-23T20-17-06
21-005-020-459268,0.50541,0.4,Low,Administrative Approval,0.4164,v2026-08-23T20-17-06
09-002-019-518833,0.37212,0.35484,Low,Legal Dispute,0.9642,v2026-08-23T20-17-06
36-003-016-652606,0.95675,0.88889,High,Administrative Approval,0.7961,v2026-08-23T20-17-06
21-012-004-001947,0.00207,0.0,Low,Compensation Disbursal,0.5046,v2026-08-23T20-17-06
22-014-017-221878,0.9892,1.0,High,Legal Dispute,0.6703,v2026-08-23T20-17-06
09-031-006-277677,0.05752,0.14286,Low,Compensation Disbursal,0.9202,v2026-08-23T20-17-06
29-022-021-035895,0.06188,0.14286,Low,Administrative Approval,0.8459,v2026-08-23T20-17-06
