ulpin,risk_probability_raw,risk_probability,risk_band,predicted_delay_stage,delay_stage_confidence,model_version
36-019-007-248099,0.07497,0.17857,Low,Administrative Approval,0.4962,v2026-08-23T12-16-56
21-012-024-553314,0.11003,0.19231,Low,Rehabilitation (R&R),0.7576,v2026-08-23T12-16-56
21-026-015-965730,0.21706,0.27273,Low,Compensation Disbursal,0.8161,v2026-08-23T12-16-56
22-018-024-953394,0.45526,0.35714,Low,Compensation Disbursal,0.5599,v2026-08-23T12-16-56
21-005-007-293405,0.89691,0.81818,High,Legal Dispute,0.8139,v2026-08-23T12-16-56
09-031-010-811785,0.04952,0.17857,Low,Compensation Disbursal,0.9421,v2026-08-23T12-16-56
09-015-017-846324,0.26545,0.30435,Low,Compensation Disbursal,0.503,v2026-08-23T12-16-56
29-007-015-263678,0.84654,0.77419,High,Compensation Disbursal,0.6844,v2026-08-23T12-16-56
09-002-006-963241,0.99752,1.0,High,Legal Dispute,0.9514,v2026-08-23T12-16-56
09-044-017-574913,0.50937,0.61538,Medium,Rehabilitation (R&R),0.9893,v2026-08-23T12-16-56
33-031-021-496220,0.08406,0.17857,Low,Rehabilitation (R&R),0.5605,v2026-08-23T12-16-56
36-019-020-135512,0.46255,0.35714,Low,Administrative Approval,0.4997,v2026-08-23T12-16-56
21-005-020-459268,0.62219,0.61538,Medium,Administrative Approval,0.4165,v2026-08-23T12-16-56
09-002-019-518833,0.2568,0.27273,Low,Legal Dispute,0.9662,v2026-08-23T12-16-56
36-003-016-652606,0.97254,0.98077,High,Administrative Approval,0.7235,v2026-08-23T12-16-56
21-012-004-001947,0.00199,0.0,Low,Compensation Disbursal,0.4918,v2026-08-23T12-16-56
22-014-017-221878,0.99322,1.0,High,Legal Dispute,0.6269,v2026-08-23T12-16-56
09-031-006-277677,0.06299,0.17857,Low,Compensation Disbursal,0.9237,v2026-08-23T12-16-56
29-022-021-035895,0.05007,0.17857,Low,Administrative Approval,0.9068,v2026-08-23T12-16-56
