ulpin,snapshot_date,risk_score,compensation_disbursed_pct,rehab_progress_pct,days_in_current_stage
22-002-013-975593,2023-04-07,0.6819,26.7,34.3,21
22-002-013-975593,2023-05-07,0.6796,28.0,35.4,51
22-002-013-975593,2023-06-06,0.7118,29.4,36.4,81
33-014-016-217560,2021-01-19,0.3558,34.5,48.8,1
33-014-016-217560,2021-02-18,0.4023,35.9,49.9,1
33-014-016-217560,2021-03-20,0.434,37.2,50.9,11
33-014-016-217560,2021-04-19,0.5175,38.5,52.0,41
33-014-016-217560,2021-05-19,0.5349,39.9,53.0,71
33-031-010-491079,2025-06-25,0.2803,44.1,4.6,1
33-031-010-491079,2025-07-25,0.2575,45.5,5.7,1
33-031-010-491079,2025-08-24,0.3382,46.8,6.7,1
33-031-010-491079,2025-09-23,0.3723,48.1,7.8,1
33-031-010-491079,2025-10-23,0.3485,49.5,8.8,21
36-019-008-771013,2024-10-17,0.507,89.6,14.7,1
36-019-008-771013,2024-11-16,0.4122,91.0,15.7,1
36-019-008-771013,2024-12-16,0.3797,92.3,16.8,1
36-019-008-771013,2025-01-15,0.3286,93.7,17.8,1
36-019-008-771013,2025-02-14,0.2964,95.0,18.9,30
29-007-004-376370,2025-02-01,0.1056,48.8,54.7,1
29-007-004-376370,2025-03-03,0.1346,50.2,55.8,1
29-007-004-376370,2025-04-02,0.1953,51.5,56.8,1
29-007-004-376370,2025-05-02,0.2499,52.9,57.9,20
29-007-004-376370,2025-06-01,0.3158,54.2,58.9,50
33-031-002-770404,2024-12-27,0.223,55.0,26.2,1
33-031-002-770404,2025-01-26,0.2815,56.4,27.2,1
33-031-002-770404,2025-02-25,0.2756,57.7,28.3,1
33-031-002-770404,2025-03-27,0.3265,59.0,29.3,1
33-031-002-770404,2025-04-26,0.3512,60.4,30.4,17
21-019-024-331631,2024-07-17,0.4621,37.5,11.7,1
21-019-024-331631,2024-08-16,0.4645,38.9,12.8,1
21-019-024-331631,2024-09-15,0.523,40.2,13.8,1
21-019-024-331631,2024-10-15,0.5405,41.5,14.8,1
21-019-024-331631,2024-11-14,0.5923,42.9,15.9,21
36-019-019-376825,2023-01-10,0.4913,28.7,78.8,1
36-019-019-376825,2023-02-09,0.4531,30.1,79.8,1
36-019-019-376825,2023-03-11,0.3699,31.4,80.9,1
36-019-019-376825,2023-04-10,0.34,32.8,82.0,25
36-019-019-376825,2023-05-10,0.2509,34.1,83.0,55
33-045-022-073492,2022-06-22,0.7211,26.9,12.4,44
33-045-022-073492,2022-07-22,0.6215,28.2,13.5,74
33-045-022-073492,2022-08-21,0.5482,29.6,14.5,104
33-045-022-073492,2022-09-20,0.4858,30.9,15.6,134
33-045-022-073492,2022-10-20,0.4642,32.3,16.6,164
22-014-019-915871,2025-08-19,0.6198,15.9,26.0,1
22-014-019-915871,2025-09-18,0.6192,17.2,27.0,1
22-014-019-915871,2025-10-18,0.667,18.6,28.1,22
22-014-019-915871,2025-11-17,0.6991,19.9,29.1,52
22-014-019-915871,2025-12-17,0.7161,21.3,30.2,82
09-015-005-300589,2026-01-23,0.6613,9.1,34.7,1
09-015-005-300589,2026-02-22,0.7021,10.4,35.8,1
09-015-005-300589,2026-03-24,0.7531,11.8,36.8,1
09-015-005-300589,2026-04-23,0.7498,13.2,37.9,1
09-015-005-300589,2026-05-23,0.7874,14.5,38.9,6
21-026-009-694289,2022-09-08,0.7564,25.1,6.8,1
21-026-009-694289,2022-10-08,0.7484,26.4,7.8,9
21-026-009-694289,2022-11-07,0.7447,27.8,8.9,39
21-026-009-694289,2022-12-07,0.7613,29.1,9.9,69
21-026-009-694289,2023-01-06,0.7248,30.5,11.0,99
21-012-024-341332,2025-09-06,0.9046,4.6,40.4,1
21-012-024-341332,2025-10-06,0.8619,6.0,41.5,1
21-012-024-341332,2025-11-05,0.7727,7.3,42.5,1
21-012-024-341332,2025-12-05,0.7875,8.7,43.6,1
21-012-024-341332,2026-01-04,0.7173,10.0,44.6,23
29-009-016-811799,2021-12-12,0.6184,54.1,29.8,1
29-009-016-811799,2022-01-11,0.5891,55.5,30.9,24
29-009-016-811799,2022-02-10,0.5256,56.8,31.9,54
29-009-016-811799,2022-03-12,0.5152,58.1,33.0,84
29-009-016-811799,2022-04-11,0.4826,59.5,34.0,114
33-031-001-173185,2021-10-07,0.3507,15.9,85.1,1
33-031-001-173185,2021-11-06,0.3757,17.2,86.1,1
33-031-001-173185,2021-12-06,0.4014,18.6,87.2,26
33-031-001-173185,2022-01-05,0.3139,19.9,88.2,56
33-031-001-173185,2022-02-04,0.3303,21.3,89.3,86
23-033-015-841738,2022-10-28,0.4402,6.4,64.2,1
23-033-015-841738,2022-11-27,0.4515,7.8,65.2,1
23-033-015-841738,2022-12-27,0.4336,9.1,66.3,1
23-033-015-841738,2023-01-26,0.3725,10.5,67.4,6
23-033-015-841738,2023-02-25,0.3251,11.8,68.4,36
21-012-007-712206,2021-06-28,0.6237,60.3,27.0,1
21-012-007-712206,2021-07-28,0.5879,61.7,28.0,1
21-012-007-712206,2021-08-27,0.5715,63.0,29.1,1
21-012-007-712206,2021-09-26,0.4922,64.4,30.1,27
21-012-007-712206,2021-10-26,0.4753,65.7,31.2,57
22-009-022-705887,2020-12-05,0.2978,48.4,62.2,1
22-009-022-705887,2021-01-04,0.3397,49.8,63.3,1
22-009-022-705887,2021-02-03,0.3867,51.1,64.3,1
22-009-022-705887,2021-03-05,0.3807,52.4,65.4,1
22-009-022-705887,2021-04-04,0.4257,53.8,66.4,5
23-004-010-095966,2022-12-14,0.1746,40.6,33.3,1
23-004-010-095966,2023-01-13,0.2042,42.0,34.4,14
23-004-010-095966,2023-02-12,0.2518,43.3,35.4,44
23-004-010-095966,2023-03-14,0.2656,44.6,36.5,74
23-004-010-095966,2023-04-13,0.2718,46.0,37.5,104
29-022-009-442523,2025-02-11,0.2685,20.4,15.4,154
29-022-009-442523,2025-03-13,0.3137,21.8,16.5,184
29-022-009-442523,2025-04-12,0.3342,23.1,17.5,214
29-022-009-442523,2025-05-12,0.3622,24.4,18.6,244
29-022-009-442523,2025-06-11,0.3362,25.8,19.6,274
21-019-001-138089,2024-08-23,0.2017,44.5,54.7,1
21-019-001-138089,2024-09-22,0.2439,45.9,55.8,1
21-019-001-138089,2024-10-22,0.2703,47.2,56.8,1
21-019-001-138089,2024-11-21,0.266,48.5,57.9,3
21-019-001-138089,2024-12-21,0.3308,49.9,58.9,33
22-018-017-394037,2022-08-19,0.01,33.7,44.8,77
22-018-017-394037,2022-09-18,0.0649,35.1,45.9,107
22-018-017-394037,2022-10-18,0.1713,36.4,46.9,137
22-018-017-394037,2022-11-17,0.2485,37.8,48.0,167
22-018-017-394037,2022-12-17,0.3769,39.1,49.0,197
27-001-009-036876,2023-06-07,0.3361,62.6,4.9,1
27-001-009-036876,2023-07-07,0.273,64.0,5.9,1
27-001-009-036876,2023-08-06,0.2486,65.3,7.0,8
27-001-009-036876,2023-09-05,0.2358,66.7,8.0,38
27-001-009-036876,2023-10-05,0.1998,68.0,9.1,68
27-013-015-433170,2023-01-24,0.1426,62.3,44.2,1
27-013-015-433170,2023-02-23,0.1976,63.7,45.2,1
27-013-015-433170,2023-03-25,0.3424,65.0,46.3,1
27-013-015-433170,2023-04-24,0.4191,66.4,47.4,13
27-013-015-433170,2023-05-24,0.4976,67.7,48.4,43
09-031-011-782923,2021-07-08,0.1472,77.8,32.9,1
09-031-011-782923,2021-08-07,0.1993,79.2,34.0,1
09-031-011-782923,2021-09-06,0.2762,80.5,35.0,1
09-031-011-782923,2021-10-06,0.366,81.9,36.1,1
09-031-011-782923,2021-11-05,0.5098,83.2,37.1,3
33-014-007-766605,2025-04-22,0.4217,68.4,5.5,1
33-014-007-766605,2025-05-22,0.3866,69.8,6.5,1
33-014-007-766605,2025-06-21,0.4178,71.1,7.6,1
33-014-007-766605,2025-07-21,0.3861,72.5,8.6,12
33-014-007-766605,2025-08-20,0.3934,73.8,9.7,42
36-003-012-264469,2022-11-16,0.4089,44.0,12.9,135
36-003-012-264469,2022-12-16,0.3668,45.4,14.0,165
36-003-012-264469,2023-01-15,0.4177,46.7,15.0,195
36-003-012-264469,2023-02-14,0.3966,48.0,16.1,225
36-003-012-264469,2023-03-16,0.4089,49.4,17.1,255
33-031-020-687626,2024-08-30,0.393,65.1,37.3,1
33-031-020-687626,2024-09-29,0.4114,66.5,38.4,1
33-031-020-687626,2024-10-29,0.4061,67.8,39.4,5
33-031-020-687626,2024-11-28,0.4827,69.2,40.5,35
33-031-020-687626,2024-12-28,0.4404,70.5,41.5,65
27-025-002-922498,2023-05-18,0.9686,10.2,11.1,21
27-025-002-922498,2023-06-17,0.9028,11.6,12.2,51
27-025-002-922498,2023-07-17,0.8051,12.9,13.2,81
27-025-002-922498,2023-08-16,0.7246,14.2,14.2,111
27-025-002-922498,2023-09-15,0.6671,15.6,15.3,141
33-045-004-081690,2022-11-02,0.2708,53.7,58.8,1
33-045-004-081690,2022-12-02,0.3146,55.1,59.9,1
33-045-004-081690,2023-01-01,0.3114,56.4,60.9,1
33-045-004-081690,2023-01-31,0.2867,57.8,62.0,1
33-045-004-081690,2023-03-02,0.3266,59.1,63.0,22
29-018-024-878590,2025-05-28,0.4091,16.2,17.1,13
29-018-024-878590,2025-06-27,0.4771,17.6,18.1,43
29-018-024-878590,2025-07-27,0.5079,18.9,19.2,73
29-018-024-878590,2025-08-26,0.5348,20.2,20.2,103
29-018-024-878590,2025-09-25,0.6202,21.6,21.3,133
22-009-004-522374,2022-09-14,0.4233,57.4,23.9,1
22-009-004-522374,2022-10-14,0.4566,58.8,25.0,1
22-009-004-522374,2022-11-13,0.483,60.1,26.0,1
22-009-004-522374,2022-12-13,0.4399,61.4,27.1,1
22-009-004-522374,2023-01-12,0.4566,62.8,28.1,30
22-009-004-500684,2022-07-20,0.2931,16.8,26.4,1
22-009-004-500684,2022-08-19,0.3897,18.1,27.5,1
22-009-004-500684,2022-09-18,0.5011,19.5,28.5,1
22-009-004-500684,2022-10-18,0.5222,20.8,29.6,13
22-009-004-500684,2022-11-17,0.5767,22.2,30.6,43
29-009-003-574868,2023-11-01,0.4509,89.7,86.2,1
29-009-003-574868,2023-12-01,0.4217,91.0,87.2,1
29-009-003-574868,2023-12-31,0.3478,92.4,88.3,22
29-009-003-574868,2024-01-30,0.2736,93.8,89.4,52
29-009-003-574868,2024-02-29,0.2143,95.1,90.4,82
29-022-008-775897,2023-05-28,0.8342,68.1,20.5,1
29-022-008-775897,2023-06-27,0.7581,69.5,21.5,1
29-022-008-775897,2023-07-27,0.6772,70.8,22.6,1
29-022-008-775897,2023-08-26,0.6086,72.2,23.6,1
29-022-008-775897,2023-09-25,0.5151,73.5,24.7,3
21-012-004-030336,2025-11-15,0.3988,19.1,4.5,1
21-012-004-030336,2025-12-15,0.4668,20.4,5.5,1
21-012-004-030336,2026-01-14,0.5395,21.8,6.6,1
21-012-004-030336,2026-02-13,0.6067,23.1,7.6,1
21-012-004-030336,2026-03-15,0.6797,24.5,8.7,3
29-009-016-679482,2022-07-27,0.5985,43.2,37.9,1
29-009-016-679482,2022-08-26,0.6484,44.6,39.0,1
29-009-016-679482,2022-09-25,0.5855,45.9,40.0,1
29-009-016-679482,2022-10-25,0.5996,47.2,41.1,1
29-009-016-679482,2022-11-24,0.5971,48.6,42.1,10
22-002-004-192320,2025-07-24,0.419,84.1,42.1,10
22-002-004-192320,2025-08-23,0.4181,85.5,43.1,40
22-002-004-192320,2025-09-22,0.4159,86.8,44.2,70
22-002-004-192320,2025-10-22,0.3987,88.2,45.2,100
22-002-004-192320,2025-11-21,0.3742,89.5,46.3,130
21-005-013-007041,2022-05-16,0.3845,46.3,26.5,80
21-005-013-007041,2022-06-15,0.3533,47.7,27.5,110
21-005-013-007041,2022-07-15,0.3671,49.0,28.6,140
21-005-013-007041,2022-08-14,0.362,50.4,29.6,170
21-005-013-007041,2022-09-13,0.3428,51.7,30.7,200
33-023-018-119955,2021-07-15,0.4438,13.8,17.1,12
33-023-018-119955,2021-08-14,0.469,15.1,18.1,42
33-023-018-119955,2021-09-13,0.5016,16.5,19.2,72
33-023-018-119955,2021-10-13,0.4959,17.8,20.2,102
33-023-018-119955,2021-11-12,0.5357,19.2,21.3,132
22-014-003-242905,2023-09-30,0.7716,28.6,28.7,1
22-014-003-242905,2023-10-30,0.7278,29.9,29.8,1
22-014-003-242905,2023-11-29,0.6921,31.3,30.8,1
22-014-003-242905,2023-12-29,0.6899,32.6,31.8,1
22-014-003-242905,2024-01-28,0.6335,34.0,32.9,11
22-018-012-901195,2022-07-16,0.5655,40.4,80.7,1
22-018-012-901195,2022-08-15,0.5213,41.8,81.8,1
22-018-012-901195,2022-09-14,0.4467,43.1,82.8,1
22-018-012-901195,2022-10-14,0.3874,44.4,83.9,1
22-018-012-901195,2022-11-13,0.3193,45.8,84.9,26
29-007-002-158342,2022-05-12,0.5308,91.0,50.2,1
29-007-002-158342,2022-06-11,0.5157,92.4,51.2,1
29-007-002-158342,2022-07-11,0.4745,93.7,52.3,1
29-007-002-158342,2022-08-10,0.5298,95.1,53.4,1
29-007-002-158342,2022-09-09,0.5026,96.4,54.4,12
29-009-023-846911,2022-03-29,0.5265,66.8,9.5,1
29-009-023-846911,2022-04-28,0.498,68.2,10.5,17
29-009-023-846911,2022-05-28,0.5072,69.5,11.6,47
29-009-023-846911,2022-06-27,0.4882,70.9,12.6,77
29-009-023-846911,2022-07-27,0.462,72.2,13.7,107
36-027-018-414505,2023-05-18,0.01,74.0,25.5,1
36-027-018-414505,2023-06-17,0.0204,75.4,26.5,29
36-027-018-414505,2023-07-17,0.1711,76.7,27.6,59
36-027-018-414505,2023-08-16,0.2244,78.1,28.6,89
36-027-018-414505,2023-09-15,0.3258,79.4,29.7,119
22-018-021-586883,2024-01-23,0.2672,85.0,58.6,1
22-018-021-586883,2024-02-22,0.2315,86.4,59.6,1
22-018-021-586883,2024-03-23,0.2587,87.7,60.7,1
22-018-021-586883,2024-04-22,0.2932,89.1,61.8,1
22-018-021-586883,2024-05-22,0.3225,90.4,62.8,12
09-015-024-187536,2021-05-28,0.7968,52.3,12.0,1
09-015-024-187536,2021-06-27,0.7421,53.7,13.0,1
09-015-024-187536,2021-07-27,0.616,55.0,14.1,1
09-015-024-187536,2021-08-26,0.493,56.4,15.1,25
09-015-024-187536,2021-09-25,0.3469,57.7,16.2,55
29-018-013-003927,2022-11-29,0.9623,62.9,8.7,1
29-018-013-003927,2022-12-29,0.9055,64.2,9.8,1
29-018-013-003927,2023-01-28,0.7848,65.6,10.8,1
29-018-013-003927,2023-02-27,0.7115,67.0,11.8,1
29-018-013-003927,2023-03-29,0.6215,68.3,12.9,9
22-009-010-139561,2024-08-03,0.6747,19.3,21.3,1
22-009-010-139561,2024-09-02,0.6345,20.6,22.4,17
22-009-010-139561,2024-10-02,0.6052,22.0,23.4,47
22-009-010-139561,2024-11-01,0.5976,23.3,24.4,77
22-009-010-139561,2024-12-01,0.5688,24.7,25.5,107
09-031-023-935005,2025-01-26,0.5306,64.0,33.2,1
09-031-023-935005,2025-02-25,0.4692,65.4,34.2,1
09-031-023-935005,2025-03-27,0.5038,66.7,35.3,1
09-031-023-935005,2025-04-26,0.4993,68.1,36.4,1
09-031-023-935005,2025-05-26,0.4891,69.4,37.4,22
29-009-007-703996,2026-06-19,0.99,44.5,30.6,1
29-009-007-703996,2026-07-19,0.99,45.9,31.6,1
29-009-007-703996,2026-08-18,0.8939,47.2,32.7,1
29-009-007-703996,2026-09-17,0.6959,48.5,33.8,1
29-009-007-703996,2026-10-17,0.5211,49.9,34.8,22
36-019-014-555270,2023-05-13,0.8794,35.0,20.1,140
36-019-014-555270,2023-06-12,0.7812,36.4,21.1,170
36-019-014-555270,2023-07-12,0.6894,37.7,22.2,200
36-019-014-555270,2023-08-11,0.6076,39.0,23.2,230
36-019-014-555270,2023-09-10,0.525,40.4,24.3,260
29-007-022-089286,2023-10-21,0.5808,10.4,70.1,214
29-007-022-089286,2023-11-20,0.5731,11.8,71.1,244
29-007-022-089286,2023-12-20,0.5697,13.1,72.2,274
29-007-022-089286,2024-01-19,0.5572,14.5,73.2,304
29-007-022-089286,2024-02-18,0.5079,15.8,74.3,334
22-014-003-088548,2022-04-30,0.3617,45.7,20.5,10
22-014-003-088548,2022-05-30,0.3822,47.1,21.5,40
22-014-003-088548,2022-06-29,0.3989,48.4,22.6,70
22-014-003-088548,2022-07-29,0.4368,49.8,23.6,100
22-014-003-088548,2022-08-28,0.5002,51.1,24.7,130
22-002-014-783176,2021-09-07,0.3737,71.0,11.0,1
22-002-014-783176,2021-10-07,0.4164,72.4,12.0,5
22-002-014-783176,2021-11-06,0.3869,73.7,13.1,35
22-002-014-783176,2021-12-06,0.4121,75.1,14.1,65
22-002-014-783176,2022-01-05,0.3806,76.4,15.2,95
27-001-009-170912,2025-04-07,0.8406,20.5,53.8,1
27-001-009-170912,2025-05-07,0.7966,21.8,54.9,17
27-001-009-170912,2025-06-06,0.7441,23.2,55.9,47
27-001-009-170912,2025-07-06,0.6954,24.5,57.0,77
27-001-009-170912,2025-08-05,0.5845,25.9,58.0,107
23-004-004-590038,2023-06-01,0.2982,77.5,23.1,1
23-004-004-590038,2023-07-01,0.3141,78.9,24.1,3
23-004-004-590038,2023-07-31,0.3539,80.2,25.2,33
23-004-004-590038,2023-08-30,0.3905,81.6,26.2,63
23-004-004-590038,2023-09-29,0.42,82.9,27.3,93
33-023-012-541773,2023-12-25,0.4094,0.0,35.5,1
33-023-012-541773,2024-01-24,0.4119,1.0,36.6,1
33-023-012-541773,2024-02-23,0.4098,2.4,37.6,1
33-023-012-541773,2024-03-24,0.4591,3.8,38.7,19
33-023-012-541773,2024-04-23,0.4213,5.1,39.7,49
23-016-022-952940,2023-05-06,0.3457,53.5,25.6,1
23-016-022-952940,2023-06-05,0.4028,54.9,26.6,1
23-016-022-952940,2023-07-05,0.4291,56.2,27.7,1
23-016-022-952940,2023-08-04,0.4695,57.5,28.8,1
23-016-022-952940,2023-09-03,0.502,58.9,29.8,5
22-014-021-856754,2021-06-01,0.2642,34.8,69.0,1
22-014-021-856754,2021-07-01,0.2208,36.2,70.0,1
22-014-021-856754,2021-07-31,0.2344,37.5,71.1,13
22-014-021-856754,2021-08-30,0.2156,38.9,72.2,43
22-014-021-856754,2021-09-29,0.1642,40.2,73.2,73
29-009-015-531038,2024-01-16,0.1563,77.6,61.7,1
29-009-015-531038,2024-02-15,0.1987,79.0,62.8,1
29-009-015-531038,2024-03-16,0.2375,80.3,63.8,17
29-009-015-531038,2024-04-15,0.2502,81.7,64.9,47
29-009-015-531038,2024-05-15,0.2386,83.0,65.9,77
23-016-005-952491,2024-07-02,0.3467,31.6,34.3,32
23-016-005-952491,2024-08-01,0.319,33.0,35.4,62
23-016-005-952491,2024-08-31,0.3248,34.3,36.4,92
23-016-005-952491,2024-09-30,0.3034,35.6,37.5,122
23-016-005-952491,2024-10-30,0.2462,37.0,38.5,152
21-019-011-899752,2024-05-26,0.3332,75.5,49.8,1
21-019-011-899752,2024-06-25,0.3516,76.9,50.9,1
21-019-011-899752,2024-07-25,0.3962,78.2,51.9,1
21-019-011-899752,2024-08-24,0.3658,79.6,53.0,1
21-019-011-899752,2024-09-23,0.4335,80.9,54.0,11
36-011-017-938212,2025-01-21,0.3021,29.7,30.2,19
36-011-017-938212,2025-02-20,0.3864,31.1,31.2,49
36-011-017-938212,2025-03-22,0.4193,32.4,32.3,79
36-011-017-938212,2025-04-21,0.5009,33.8,33.4,109
36-011-017-938212,2025-05-21,0.5694,35.1,34.4,139
29-007-022-003059,2021-05-05,0.2518,38.9,55.3,1
29-007-022-003059,2021-06-04,0.3348,40.2,56.4,1
29-007-022-003059,2021-07-04,0.3787,41.6,57.4,1
29-007-022-003059,2021-08-03,0.3962,42.9,58.5,24
29-007-022-003059,2021-09-02,0.4811,44.3,59.5,54
21-012-018-340012,2024-09-18,0.0803,54.2,24.7,26
21-012-018-340012,2024-10-18,0.1382,55.6,25.8,56
21-012-018-340012,2024-11-17,0.1762,56.9,26.8,86
21-012-018-340012,2024-12-17,0.2317,58.2,27.8,116
21-012-018-340012,2025-01-16,0.279,59.6,28.9,146
33-023-020-307456,2026-03-28,0.8328,13.0,22.4,116
33-023-020-307456,2026-04-27,0.8057,14.3,23.5,146
33-023-020-307456,2026-05-27,0.6955,15.7,24.5,176
33-023-020-307456,2026-06-26,0.6426,17.0,25.6,206
33-023-020-307456,2026-07-26,0.5612,18.4,26.6,236
09-044-020-405265,2021-11-29,0.1223,45.5,47.0,1
09-044-020-405265,2021-12-29,0.2421,46.9,48.1,1
09-044-020-405265,2022-01-28,0.2636,48.2,49.1,1
09-044-020-405265,2022-02-27,0.3638,49.5,50.2,3
09-044-020-405265,2022-03-29,0.4357,50.9,51.2,33
22-014-020-275962,2022-01-01,0.1976,25.7,78.9,1
22-014-020-275962,2022-01-31,0.2536,27.1,79.9,1
22-014-020-275962,2022-03-02,0.2614,28.4,81.0,26
22-014-020-275962,2022-04-01,0.2778,29.8,82.0,56
22-014-020-275962,2022-05-01,0.3584,31.1,83.1,86
33-023-024-849398,2021-10-02,0.3462,24.5,11.9,1
33-023-024-849398,2021-11-01,0.3538,25.8,13.0,1
33-023-024-849398,2021-12-01,0.3205,27.2,14.0,1
33-023-024-849398,2021-12-31,0.3289,28.5,15.1,1
33-023-024-849398,2022-01-30,0.3181,29.9,16.1,7
21-012-022-745758,2020-09-17,0.3863,49.6,51.1,1
21-012-022-745758,2020-10-17,0.3569,51.0,52.1,10
21-012-022-745758,2020-11-16,0.3116,52.3,53.2,40
21-012-022-745758,2020-12-16,0.3029,53.6,54.2,70
21-012-022-745758,2021-01-15,0.2649,55.0,55.3,100
22-002-003-642583,2022-10-20,0.8113,5.6,41.1,1
22-002-003-642583,2022-11-19,0.7762,7.0,42.1,1
22-002-003-642583,2022-12-19,0.7002,8.3,43.2,1
22-002-003-642583,2023-01-18,0.6585,9.7,44.2,1
22-002-003-642583,2023-02-17,0.618,11.0,45.3,30
09-015-023-422636,2023-07-15,0.7504,23.3,18.8,1
09-015-023-422636,2023-08-14,0.7256,24.6,19.9,1
09-015-023-422636,2023-09-13,0.7182,26.0,20.9,27
09-015-023-422636,2023-10-13,0.6672,27.3,21.9,57
09-015-023-422636,2023-11-12,0.6846,28.7,23.0,87
22-009-012-513964,2025-11-08,0.2514,70.2,8.9,11
22-009-012-513964,2025-12-08,0.2428,71.5,9.9,41
22-009-012-513964,2026-01-07,0.2729,72.9,11.0,71
22-009-012-513964,2026-02-06,0.3316,74.2,12.0,101
22-009-012-513964,2026-03-08,0.3326,75.6,13.1,131
09-044-018-641015,2022-09-26,0.4073,21.8,40.8,1
09-044-018-641015,2022-10-26,0.4353,23.1,41.9,1
09-044-018-641015,2022-11-25,0.412,24.5,42.9,1
09-044-018-641015,2022-12-25,0.463,25.8,44.0,10
09-044-018-641015,2023-01-24,0.4825,27.2,45.0,40
33-014-015-377807,2024-07-17,0.4761,6.3,51.6,1
33-014-015-377807,2024-08-16,0.4969,7.6,52.6,1
33-014-015-377807,2024-09-15,0.5526,9.0,53.7,1
33-014-015-377807,2024-10-15,0.5832,10.3,54.8,1
33-014-015-377807,2024-11-14,0.6459,11.7,55.8,15
27-037-010-996219,2022-08-23,0.2479,53.3,61.3,28
27-037-010-996219,2022-09-22,0.2773,54.7,62.4,58
27-037-010-996219,2022-10-22,0.2647,56.0,63.4,88
27-037-010-996219,2022-11-21,0.2895,57.4,64.5,118
27-037-010-996219,2022-12-21,0.266,58.7,65.5,148
09-015-024-684741,2023-12-02,0.2991,75.8,46.0,140
09-015-024-684741,2024-01-01,0.3538,77.2,47.1,170
09-015-024-684741,2024-01-31,0.3052,78.5,48.1,200
09-015-024-684741,2024-03-01,0.3032,79.9,49.2,230
09-015-024-684741,2024-03-31,0.3284,81.2,50.2,260
29-009-005-707378,2025-08-14,0.01,71.5,84.4,10
29-009-005-707378,2025-09-13,0.01,72.9,85.4,40
29-009-005-707378,2025-10-13,0.0583,74.2,86.5,70
29-009-005-707378,2025-11-12,0.209,75.6,87.5,100
29-009-005-707378,2025-12-12,0.332,76.9,88.6,130
22-018-021-350278,2023-01-16,0.3091,44.8,38.6,1
22-018-021-350278,2023-02-15,0.3822,46.2,39.6,1
22-018-021-350278,2023-03-17,0.4109,47.5,40.7,1
22-018-021-350278,2023-04-16,0.4727,48.9,41.8,1
22-018-021-350278,2023-05-16,0.5494,50.2,42.8,18
29-009-001-560843,2021-11-05,0.58,87.2,6.5,1
29-009-001-560843,2021-12-05,0.5176,88.5,7.5,1
29-009-001-560843,2022-01-04,0.4597,89.9,8.6,1
29-009-001-560843,2022-02-03,0.3432,91.2,9.6,1
29-009-001-560843,2022-03-05,0.269,92.6,10.7,11
36-003-002-677210,2025-08-10,0.2773,62.4,29.1,1
36-003-002-677210,2025-09-09,0.2966,63.8,30.1,1
36-003-002-677210,2025-10-09,0.2717,65.1,31.2,1
36-003-002-677210,2025-11-08,0.3365,66.5,32.2,6
36-003-002-677210,2025-12-08,0.3382,67.8,33.3,36
21-026-018-182337,2022-02-14,0.3989,52.5,58.4,1
21-026-018-182337,2022-03-16,0.4713,53.9,59.5,1
21-026-018-182337,2022-04-15,0.5505,55.2,60.5,1
21-026-018-182337,2022-05-15,0.5477,56.5,61.6,1
21-026-018-182337,2022-06-14,0.6361,57.9,62.6,20
21-005-015-892443,2024-04-05,0.8123,49.0,40.9,1
21-005-015-892443,2024-05-05,0.7569,50.4,42.0,17
21-005-015-892443,2024-06-04,0.6703,51.7,43.0,47
21-005-015-892443,2024-07-04,0.5607,53.0,44.1,77
21-005-015-892443,2024-08-03,0.4761,54.4,45.1,107
22-018-019-687038,2022-03-08,0.5625,19.9,42.0,1
22-018-019-687038,2022-04-07,0.4919,21.2,43.1,1
22-018-019-687038,2022-05-07,0.4697,22.6,44.1,1
22-018-019-687038,2022-06-06,0.4463,23.9,45.2,11
22-018-019-687038,2022-07-06,0.4574,25.3,46.2,41
22-002-005-605965,2024-01-18,0.5796,67.2,13.0,74
22-002-005-605965,2024-02-17,0.567,68.5,14.0,104
22-002-005-605965,2024-03-18,0.626,69.9,15.1,134
22-002-005-605965,2024-04-17,0.6383,71.2,16.1,164
22-002-005-605965,2024-05-17,0.6552,72.6,17.2,194
22-014-017-781394,2024-05-19,0.3797,68.0,57.7,1
22-014-017-781394,2024-06-18,0.3972,69.4,58.8,1
22-014-017-781394,2024-07-18,0.3942,70.7,59.8,1
22-014-017-781394,2024-08-17,0.3976,72.1,60.9,1
22-014-017-781394,2024-09-16,0.3729,73.4,61.9,4
27-037-015-156208,2020-10-14,0.1638,82.7,43.0,1
27-037-015-156208,2020-11-13,0.2545,84.0,44.1,31
27-037-015-156208,2020-12-13,0.3322,85.4,45.1,61
27-037-015-156208,2021-01-12,0.4513,86.8,46.2,91
27-037-015-156208,2021-02-11,0.5232,88.1,47.2,121
09-015-021-965587,2022-07-21,0.0948,58.1,63.7,1
09-015-021-965587,2022-08-20,0.1404,59.5,64.8,15
09-015-021-965587,2022-09-19,0.1516,60.8,65.8,45
09-015-021-965587,2022-10-19,0.2279,62.1,66.9,75
09-015-021-965587,2022-11-18,0.2274,63.5,67.9,105
22-018-007-427108,2023-04-26,0.7967,53.2,13.8,1
22-018-007-427108,2023-05-26,0.7397,54.6,14.8,1
22-018-007-427108,2023-06-25,0.7109,55.9,15.9,24
22-018-007-427108,2023-07-25,0.6257,57.2,16.9,54
22-018-007-427108,2023-08-24,0.5378,58.6,18.0,84
22-018-014-243421,2024-01-15,0.1161,87.0,27.1,1
22-018-014-243421,2024-02-14,0.1469,88.4,28.1,4
22-018-014-243421,2024-03-15,0.1571,89.7,29.2,34
