upstream_ulpin,downstream_ulpin,dependency_type,note
09-044-003-334004,09-015-022-331393,Contiguous stretch,Airport Expansion alignment continues into the next stretch
09-015-022-331393,09-002-019-319626,Contiguous stretch,Airport Expansion alignment continues into the next stretch
09-002-019-319626,09-031-008-739700,Contiguous stretch,Airport Expansion alignment continues into the next stretch
09-031-008-739700,09-015-022-486717,Contiguous stretch,Airport Expansion alignment continues into the next stretch
09-015-022-486717,09-031-016-995048,Contiguous stretch,Airport Expansion alignment continues into the next stretch
09-015-005-629643,09-002-012-096995,Contiguous stretch,Industrial Corridor alignment continues into the next stretch
09-031-011-782923,09-044-023-942817,Contiguous stretch,Industrial Corridor alignment continues into the next stretch
09-002-018-699715,09-015-020-499467,Contiguous stretch,Industrial Corridor alignment continues into the next stretch
09-044-010-399385,09-002-012-287289,Contiguous stretch,Industrial Corridor alignment continues into the next stretch
09-015-023-594924,09-031-010-951761,Contiguous stretch,Industrial Corridor alignment continues into the next stretch
09-031-015-251640,09-031-023-935005,Contiguous stretch,Irrigation Canal alignment continues into the next stretch
09-015-017-846324,09-044-018-871523,Contiguous stretch,Irrigation Canal alignment continues into the next stretch
09-015-015-268798,09-044-016-721787,Contiguous stretch,Irrigation Canal alignment continues into the next stretch
09-031-018-325979,09-031-010-551779,Contiguous stretch,Irrigation Canal alignment continues into the next stretch
09-031-010-551779,09-002-007-267190,Contiguous stretch,Irrigation Canal alignment continues into the next stretch
09-044-002-147956,09-031-007-719117,Contiguous stretch,Irrigation Canal alignment continues into the next stretch
09-015-018-258288,09-002-007-873989,Contiguous stretch,Irrigation Canal alignment continues into the next stretch
09-015-019-290559,09-015-005-300589,Contiguous stretch,Irrigation Canal alignment continues into the next stretch
09-044-017-935530,09-015-012-869466,Contiguous stretch,Irrigation Canal alignment continues into the next stretch
09-002-024-838219,09-015-015-984880,Contiguous stretch,National Highway alignment continues into the next stretch
09-002-018-433132,09-031-003-212773,Contiguous stretch,National Highway alignment continues into the next stretch
09-031-009-301397,09-002-019-518833,Contiguous stretch,National Highway alignment continues into the next stretch
09-002-019-518833,09-044-016-349452,Contiguous stretch,National Highway alignment continues into the next stretch
09-044-016-605257,09-015-013-630484,Contiguous stretch,Power Transmission alignment continues into the next stretch
09-031-023-654734,09-044-006-290384,Contiguous stretch,Power Transmission alignment continues into the next stretch
09-044-006-290384,09-031-014-618305,Contiguous stretch,Power Transmission alignment continues into the next stretch
09-031-009-999808,09-044-013-404185,Contiguous stretch,Power Transmission alignment continues into the next stretch
09-044-013-404185,09-002-006-374336,Contiguous stretch,Power Transmission alignment continues into the next stretch
09-015-024-187536,09-044-006-085636,Contiguous stretch,Power Transmission alignment continues into the next stretch
09-031-006-779473,09-015-017-116286,Contiguous stretch,Railway Line alignment continues into the next stretch
09-015-017-116286,09-031-012-968801,Contiguous stretch,Railway Line alignment continues into the next stretch
09-031-012-968801,09-015-020-941039,Contiguous stretch,Railway Line alignment continues into the next stretch
09-044-015-501491,09-015-023-422636,Contiguous stretch,State Highway alignment continues into the next stretch
09-015-023-422636,09-031-011-403676,Contiguous stretch,State Highway alignment continues into the next stretch
09-031-011-403676,09-031-008-581607,Contiguous stretch,State Highway alignment continues into the next stretch
09-031-008-581607,09-002-006-963241,Contiguous stretch,State Highway alignment continues into the next stretch
09-002-006-963241,09-031-005-205615,Contiguous stretch,State Highway alignment continues into the next stretch
09-031-005-205615,09-031-019-872573,Contiguous stretch,State Highway alignment continues into the next stretch
09-031-019-872573,09-031-004-549123,Contiguous stretch,State Highway alignment continues into the next stretch
09-031-004-549123,09-015-015-720181,Contiguous stretch,State Highway alignment continues into the next stretch
09-044-011-678937,09-002-008-247131,Contiguous stretch,State Highway alignment continues into the next stretch
09-002-008-247131,09-031-004-338225,Contiguous stretch,State Highway alignment continues into the next stretch
09-031-004-338225,09-044-024-422247,Contiguous stretch,State Highway alignment continues into the next stretch
09-044-007-769720,09-031-020-450629,Contiguous stretch,State Highway alignment continues into the next stretch
09-031-020-450629,09-031-006-277677,Contiguous stretch,State Highway alignment continues into the next stretch
09-031-010-245314,09-031-012-013572,Contiguous stretch,Urban Metro alignment continues into the next stretch
09-031-012-013572,09-044-011-783326,Contiguous stretch,Urban Metro alignment continues into the next stretch
09-002-018-837892,09-015-018-017810,Contiguous stretch,Urban Metro alignment continues into the next stretch
09-002-022-794672,09-044-014-641225,Contiguous stretch,Urban Metro alignment continues into the next stretch
09-044-017-574913,09-031-006-348412,Contiguous stretch,Urban Metro alignment continues into the next stretch
21-005-011-786728,21-005-016-212873,Feeder connectivity,Corridor access depends on this road stretch
21-005-011-786728,21-005-001-250927,Feeder connectivity,Corridor access depends on this road stretch
22-009-001-966349,22-009-021-025825,Feeder connectivity,Corridor access depends on this road stretch
22-009-001-966349,22-009-004-522374,Feeder connectivity,Corridor access depends on this road stretch
29-009-002-628978,29-009-018-330872,Feeder connectivity,Corridor access depends on this road stretch
29-009-002-628978,29-009-016-811799,Feeder connectivity,Corridor access depends on this road stretch
33-023-003-347613,33-023-009-270578,Feeder connectivity,Corridor access depends on this road stretch
33-023-003-347613,33-023-008-109672,Feeder connectivity,Corridor access depends on this road stretch
36-027-010-345877,36-027-004-601436,Feeder connectivity,Corridor access depends on this road stretch
36-027-010-345877,36-027-018-414505,Feeder connectivity,Corridor access depends on this road stretch
36-027-016-523186,36-027-004-601436,Feeder connectivity,Corridor access depends on this road stretch
36-027-016-523186,36-027-018-414505,Feeder connectivity,Corridor access depends on this road stretch
09-015-020-499467,09-015-013-819804,Feeder connectivity,Corridor access depends on this road stretch
09-015-020-499467,09-015-010-940913,Feeder connectivity,Corridor access depends on this road stretch
21-019-010-250365,21-019-014-988271,Feeder connectivity,Corridor access depends on this road stretch
21-019-010-250365,21-019-006-257378,Feeder connectivity,Corridor access depends on this road stretch
27-025-020-420336,27-025-009-655747,Feeder connectivity,Corridor access depends on this road stretch
27-025-020-420336,27-025-006-340067,Feeder connectivity,Corridor access depends on this road stretch
29-007-024-604207,29-007-005-788735,Feeder connectivity,Corridor access depends on this road stretch
29-007-024-604207,29-007-007-071762,Feeder connectivity,Corridor access depends on this road stretch
09-015-007-459474,09-015-013-819804,Feeder connectivity,Corridor access depends on this road stretch
09-015-007-459474,09-015-010-940913,Feeder connectivity,Corridor access depends on this road stretch
21-019-013-994290,21-019-014-988271,Feeder connectivity,Corridor access depends on this road stretch
21-019-013-994290,21-019-006-257378,Feeder connectivity,Corridor access depends on this road stretch
23-016-021-561047,23-016-011-215124,Feeder connectivity,Corridor access depends on this road stretch
23-016-021-561047,23-016-019-487040,Feeder connectivity,Corridor access depends on this road stretch
09-044-010-180479,09-044-024-422247,Feeder connectivity,Corridor access depends on this road stretch
09-044-010-180479,09-044-016-349452,Feeder connectivity,Corridor access depends on this road stretch
36-027-009-400358,36-027-004-601436,Feeder connectivity,Corridor access depends on this road stretch
36-027-009-400358,36-027-018-414505,Feeder connectivity,Corridor access depends on this road stretch
22-002-019-640682,22-002-009-541227,Feeder connectivity,Corridor access depends on this road stretch
22-002-019-640682,22-002-008-335658,Feeder connectivity,Corridor access depends on this road stretch
29-009-008-883290,29-009-018-330872,Feeder connectivity,Corridor access depends on this road stretch
29-009-008-883290,29-009-016-811799,Feeder connectivity,Corridor access depends on this road stretch
22-018-020-948330,22-018-013-296622,Feeder connectivity,Corridor access depends on this road stretch
22-018-020-948330,22-018-003-425514,Feeder connectivity,Corridor access depends on this road stretch
22-002-003-644798,22-002-009-541227,Feeder connectivity,Corridor access depends on this road stretch
22-002-003-644798,22-002-008-335658,Feeder connectivity,Corridor access depends on this road stretch
23-028-021-863404,23-028-004-804705,Feeder connectivity,Corridor access depends on this road stretch
23-028-021-863404,23-028-009-350448,Feeder connectivity,Corridor access depends on this road stretch
22-018-024-885603,22-018-013-296622,Feeder connectivity,Corridor access depends on this road stretch
22-018-024-885603,22-018-003-425514,Feeder connectivity,Corridor access depends on this road stretch
33-023-024-149241,33-023-009-270578,Feeder connectivity,Corridor access depends on this road stretch
33-023-024-149241,33-023-008-109672,Feeder connectivity,Corridor access depends on this road stretch
09-031-010-951761,09-031-004-338225,Feeder connectivity,Corridor access depends on this road stretch
09-031-010-951761,09-031-009-301397,Feeder connectivity,Corridor access depends on this road stretch
21-026-008-652571,21-026-002-958256,Feeder connectivity,Corridor access depends on this road stretch
21-026-008-652571,21-026-001-357052,Feeder connectivity,Corridor access depends on this road stretch
27-025-016-374850,27-025-009-655747,Feeder connectivity,Corridor access depends on this road stretch
27-025-016-374850,27-025-006-340067,Feeder connectivity,Corridor access depends on this road stretch
36-011-003-331349,36-011-010-433055,Feeder connectivity,Corridor access depends on this road stretch
36-011-003-331349,36-011-018-687163,Feeder connectivity,Corridor access depends on this road stretch
36-019-008-919095,36-019-009-582253,Feeder connectivity,Corridor access depends on this road stretch
36-019-008-919095,36-019-012-035966,Feeder connectivity,Corridor access depends on this road stretch
29-018-017-640746,29-018-006-070607,Feeder connectivity,Corridor access depends on this road stretch
29-018-017-640746,29-018-008-164220,Feeder connectivity,Corridor access depends on this road stretch
23-028-017-616704,23-028-004-804705,Feeder connectivity,Corridor access depends on this road stretch
23-028-017-616704,23-028-009-350448,Feeder connectivity,Corridor access depends on this road stretch
27-037-002-577568,27-037-017-497474,Feeder connectivity,Corridor access depends on this road stretch
27-037-002-577568,27-037-010-996219,Feeder connectivity,Corridor access depends on this road stretch
36-019-016-850029,36-019-009-582253,Feeder connectivity,Corridor access depends on this road stretch
36-019-016-850029,36-019-012-035966,Feeder connectivity,Corridor access depends on this road stretch
22-002-007-199555,22-002-009-541227,Feeder connectivity,Corridor access depends on this road stretch
22-002-007-199555,22-002-008-335658,Feeder connectivity,Corridor access depends on this road stretch
33-045-008-394565,33-045-018-529091,Feeder connectivity,Corridor access depends on this road stretch
33-045-008-394565,33-045-004-081690,Feeder connectivity,Corridor access depends on this road stretch
33-014-016-217560,33-014-011-676436,Feeder connectivity,Corridor access depends on this road stretch
33-014-016-217560,33-014-011-363947,Feeder connectivity,Corridor access depends on this road stretch
36-019-008-771013,36-019-009-582253,Feeder connectivity,Corridor access depends on this road stretch
36-019-008-771013,36-019-012-035966,Feeder connectivity,Corridor access depends on this road stretch
36-019-019-376825,36-019-009-582253,Feeder connectivity,Corridor access depends on this road stretch
36-019-019-376825,36-019-012-035966,Feeder connectivity,Corridor access depends on this road stretch
23-004-010-095966,23-004-020-557776,Feeder connectivity,Corridor access depends on this road stretch
23-004-010-095966,23-004-019-012227,Feeder connectivity,Corridor access depends on this road stretch
29-022-009-442523,29-022-024-239792,Feeder connectivity,Corridor access depends on this road stretch
29-022-009-442523,29-022-007-575490,Feeder connectivity,Corridor access depends on this road stretch
09-031-011-782923,09-031-004-338225,Feeder connectivity,Corridor access depends on this road stretch
09-031-011-782923,09-031-009-301397,Feeder connectivity,Corridor access depends on this road stretch
22-014-003-242905,22-014-018-128587,Feeder connectivity,Corridor access depends on this road stretch
22-014-003-242905,22-014-013-822415,Feeder connectivity,Corridor access depends on this road stretch
22-018-012-901195,22-018-013-296622,Feeder connectivity,Corridor access depends on this road stretch
22-018-012-901195,22-018-003-425514,Feeder connectivity,Corridor access depends on this road stretch
29-018-013-003927,29-018-006-070607,Feeder connectivity,Corridor access depends on this road stretch
29-018-013-003927,29-018-008-164220,Feeder connectivity,Corridor access depends on this road stretch
36-011-017-938212,36-011-010-433055,Feeder connectivity,Corridor access depends on this road stretch
36-011-017-938212,36-011-018-687163,Feeder connectivity,Corridor access depends on this road stretch
21-012-018-340012,21-012-022-745758,Feeder connectivity,Corridor access depends on this road stretch
21-012-018-340012,21-012-011-176514,Feeder connectivity,Corridor access depends on this road stretch
33-023-020-307456,33-023-009-270578,Feeder connectivity,Corridor access depends on this road stretch
33-023-020-307456,33-023-008-109672,Feeder connectivity,Corridor access depends on this road stretch
09-044-020-405265,09-044-024-422247,Feeder connectivity,Corridor access depends on this road stretch
09-044-020-405265,09-044-016-349452,Feeder connectivity,Corridor access depends on this road stretch
22-002-005-605965,22-002-009-541227,Feeder connectivity,Corridor access depends on this road stretch
22-002-005-605965,22-002-008-335658,Feeder connectivity,Corridor access depends on this road stretch
27-037-015-156208,27-037-017-497474,Feeder connectivity,Corridor access depends on this road stretch
27-037-015-156208,27-037-010-996219,Feeder connectivity,Corridor access depends on this road stretch
22-018-007-427108,22-018-013-296622,Feeder connectivity,Corridor access depends on this road stretch
22-018-007-427108,22-018-003-425514,Feeder connectivity,Corridor access depends on this road stretch
29-018-001-407034,29-018-006-070607,Feeder connectivity,Corridor access depends on this road stretch
29-018-001-407034,29-018-008-164220,Feeder connectivity,Corridor access depends on this road stretch
21-005-017-162591,21-005-016-212873,Feeder connectivity,Corridor access depends on this road stretch
21-005-017-162591,21-005-001-250927,Feeder connectivity,Corridor access depends on this road stretch
22-002-017-463019,22-002-009-541227,Feeder connectivity,Corridor access depends on this road stretch
22-002-017-463019,22-002-008-335658,Feeder connectivity,Corridor access depends on this road stretch
23-004-012-503573,23-004-020-557776,Feeder connectivity,Corridor access depends on this road stretch
23-004-012-503573,23-004-019-012227,Feeder connectivity,Corridor access depends on this road stretch
36-003-024-033546,36-003-012-771038,Feeder connectivity,Corridor access depends on this road stretch
36-003-024-033546,36-003-007-310782,Feeder connectivity,Corridor access depends on this road stretch
22-018-001-023764,22-018-013-296622,Feeder connectivity,Corridor access depends on this road stretch
22-018-001-023764,22-018-003-425514,Feeder connectivity,Corridor access depends on this road stretch
36-011-001-148953,36-011-010-433055,Feeder connectivity,Corridor access depends on this road stretch
36-011-001-148953,36-011-018-687163,Feeder connectivity,Corridor access depends on this road stretch
33-045-012-872493,33-045-018-529091,Feeder connectivity,Corridor access depends on this road stretch
33-045-012-872493,33-045-004-081690,Feeder connectivity,Corridor access depends on this road stretch
36-011-005-032698,36-011-010-433055,Feeder connectivity,Corridor access depends on this road stretch
36-011-005-032698,36-011-018-687163,Feeder connectivity,Corridor access depends on this road stretch
22-018-021-691048,22-018-013-296622,Feeder connectivity,Corridor access depends on this road stretch
22-018-021-691048,22-018-003-425514,Feeder connectivity,Corridor access depends on this road stretch
29-018-016-141916,29-018-006-070607,Feeder connectivity,Corridor access depends on this road stretch
29-018-016-141916,29-018-008-164220,Feeder connectivity,Corridor access depends on this road stretch
29-009-015-901494,29-009-018-330872,Feeder connectivity,Corridor access depends on this road stretch
29-009-015-901494,29-009-016-811799,Feeder connectivity,Corridor access depends on this road stretch
23-016-023-315833,23-016-011-215124,Feeder connectivity,Corridor access depends on this road stretch
23-016-023-315833,23-016-019-487040,Feeder connectivity,Corridor access depends on this road stretch
29-007-011-687218,29-007-005-788735,Feeder connectivity,Corridor access depends on this road stretch
29-007-011-687218,29-007-007-071762,Feeder connectivity,Corridor access depends on this road stretch
27-025-003-817740,27-025-009-655747,Feeder connectivity,Corridor access depends on this road stretch
27-025-003-817740,27-025-006-340067,Feeder connectivity,Corridor access depends on this road stretch
22-018-003-186466,22-018-013-296622,Feeder connectivity,Corridor access depends on this road stretch
22-018-003-186466,22-018-003-425514,Feeder connectivity,Corridor access depends on this road stretch
23-033-019-156498,23-033-008-121651,Feeder connectivity,Corridor access depends on this road stretch
23-033-019-156498,23-033-018-810137,Feeder connectivity,Corridor access depends on this road stretch
09-002-012-287289,09-002-018-433132,Feeder connectivity,Corridor access depends on this road stretch
09-002-012-287289,09-002-004-500329,Feeder connectivity,Corridor access depends on this road stretch
29-009-005-455315,29-009-018-330872,Feeder connectivity,Corridor access depends on this road stretch
29-009-005-455315,29-009-016-811799,Feeder connectivity,Corridor access depends on this road stretch
36-027-001-845549,36-027-004-601436,Feeder connectivity,Corridor access depends on this road stretch
36-027-001-845549,36-027-018-414505,Feeder connectivity,Corridor access depends on this road stretch
29-009-020-946469,29-009-018-330872,Feeder connectivity,Corridor access depends on this road stretch
29-009-020-946469,29-009-016-811799,Feeder connectivity,Corridor access depends on this road stretch
33-031-017-369786,33-031-002-770404,Feeder connectivity,Corridor access depends on this road stretch
33-031-017-369786,33-031-008-004122,Feeder connectivity,Corridor access depends on this road stretch
09-015-023-594924,09-015-013-819804,Feeder connectivity,Corridor access depends on this road stretch
09-015-023-594924,09-015-010-940913,Feeder connectivity,Corridor access depends on this road stretch
29-022-002-099610,29-022-024-239792,Feeder connectivity,Corridor access depends on this road stretch
29-022-002-099610,29-022-007-575490,Feeder connectivity,Corridor access depends on this road stretch
36-011-024-060933,36-011-010-433055,Feeder connectivity,Corridor access depends on this road stretch
36-011-024-060933,36-011-018-687163,Feeder connectivity,Corridor access depends on this road stretch
09-031-022-184217,09-031-004-338225,Feeder connectivity,Corridor access depends on this road stretch
09-031-022-184217,09-031-009-301397,Feeder connectivity,Corridor access depends on this road stretch
21-026-009-986885,21-026-002-958256,Feeder connectivity,Corridor access depends on this road stretch
21-026-009-986885,21-026-001-357052,Feeder connectivity,Corridor access depends on this road stretch
22-018-015-420983,22-018-013-296622,Feeder connectivity,Corridor access depends on this road stretch
22-018-015-420983,22-018-003-425514,Feeder connectivity,Corridor access depends on this road stretch
33-023-005-642414,33-023-009-270578,Feeder connectivity,Corridor access depends on this road stretch
33-023-005-642414,33-023-008-109672,Feeder connectivity,Corridor access depends on this road stretch
33-031-018-828945,33-031-002-770404,Feeder connectivity,Corridor access depends on this road stretch
33-031-018-828945,33-031-008-004122,Feeder connectivity,Corridor access depends on this road stretch
36-019-006-621721,36-019-009-582253,Feeder connectivity,Corridor access depends on this road stretch
36-019-006-621721,36-019-012-035966,Feeder connectivity,Corridor access depends on this road stretch
33-014-003-624419,33-014-011-676436,Feeder connectivity,Corridor access depends on this road stretch
33-014-003-624419,33-014-011-363947,Feeder connectivity,Corridor access depends on this road stretch
22-014-012-594344,22-014-018-128587,Feeder connectivity,Corridor access depends on this road stretch
22-014-012-594344,22-014-013-822415,Feeder connectivity,Corridor access depends on this road stretch
21-019-003-645108,21-019-014-988271,Feeder connectivity,Corridor access depends on this road stretch
21-019-003-645108,21-019-006-257378,Feeder connectivity,Corridor access depends on this road stretch
27-013-003-816162,27-013-018-313330,Feeder connectivity,Corridor access depends on this road stretch
27-013-003-816162,27-013-007-293988,Feeder connectivity,Corridor access depends on this road stretch
23-028-024-197282,23-028-004-804705,Feeder connectivity,Corridor access depends on this road stretch
23-028-024-197282,23-028-009-350448,Feeder connectivity,Corridor access depends on this road stretch
33-014-013-611333,33-014-011-676436,Feeder connectivity,Corridor access depends on this road stretch
33-014-013-611333,33-014-011-363947,Feeder connectivity,Corridor access depends on this road stretch
09-002-024-994533,09-002-018-433132,Feeder connectivity,Corridor access depends on this road stretch
09-002-024-994533,09-002-004-500329,Feeder connectivity,Corridor access depends on this road stretch
33-045-002-169773,33-045-018-529091,Feeder connectivity,Corridor access depends on this road stretch
33-045-002-169773,33-045-004-081690,Feeder connectivity,Corridor access depends on this road stretch
22-009-002-176327,22-009-021-025825,Feeder connectivity,Corridor access depends on this road stretch
22-009-002-176327,22-009-004-522374,Feeder connectivity,Corridor access depends on this road stretch
09-002-018-699715,09-002-018-433132,Feeder connectivity,Corridor access depends on this road stretch
09-002-018-699715,09-002-004-500329,Feeder connectivity,Corridor access depends on this road stretch
09-002-014-978881,09-002-018-433132,Feeder connectivity,Corridor access depends on this road stretch
09-002-014-978881,09-002-004-500329,Feeder connectivity,Corridor access depends on this road stretch
23-028-009-366887,23-028-004-804705,Feeder connectivity,Corridor access depends on this road stretch
23-028-009-366887,23-028-009-350448,Feeder connectivity,Corridor access depends on this road stretch
21-026-020-567288,21-026-002-958256,Feeder connectivity,Corridor access depends on this road stretch
21-026-020-567288,21-026-001-357052,Feeder connectivity,Corridor access depends on this road stretch
22-014-005-537148,22-014-018-128587,Feeder connectivity,Corridor access depends on this road stretch
22-014-005-537148,22-014-013-822415,Feeder connectivity,Corridor access depends on this road stretch
22-014-011-799681,22-014-018-128587,Feeder connectivity,Corridor access depends on this road stretch
22-014-011-799681,22-014-013-822415,Feeder connectivity,Corridor access depends on this road stretch
09-002-012-096995,09-002-018-433132,Feeder connectivity,Corridor access depends on this road stretch
09-002-012-096995,09-002-004-500329,Feeder connectivity,Corridor access depends on this road stretch
36-027-022-025842,36-027-004-601436,Feeder connectivity,Corridor access depends on this road stretch
36-027-022-025842,36-027-018-414505,Feeder connectivity,Corridor access depends on this road stretch
27-037-005-932752,27-037-017-497474,Feeder connectivity,Corridor access depends on this road stretch
27-037-005-932752,27-037-010-996219,Feeder connectivity,Corridor access depends on this road stretch
29-022-005-835678,29-022-024-239792,Feeder connectivity,Corridor access depends on this road stretch
29-022-005-835678,29-022-007-575490,Feeder connectivity,Corridor access depends on this road stretch
36-003-001-892924,36-003-012-771038,Feeder connectivity,Corridor access depends on this road stretch
36-003-001-892924,36-003-007-310782,Feeder connectivity,Corridor access depends on this road stretch
22-002-014-968638,22-002-009-541227,Feeder connectivity,Corridor access depends on this road stretch
22-002-014-968638,22-002-008-335658,Feeder connectivity,Corridor access depends on this road stretch
29-022-009-232014,29-022-024-239792,Feeder connectivity,Corridor access depends on this road stretch
29-022-009-232014,29-022-007-575490,Feeder connectivity,Corridor access depends on this road stretch
09-044-010-399385,09-044-024-422247,Feeder connectivity,Corridor access depends on this road stretch
09-044-010-399385,09-044-016-349452,Feeder connectivity,Corridor access depends on this road stretch
22-018-003-316142,22-018-013-296622,Feeder connectivity,Corridor access depends on this road stretch
22-018-003-316142,22-018-003-425514,Feeder connectivity,Corridor access depends on this road stretch
23-033-005-677236,23-033-008-121651,Feeder connectivity,Corridor access depends on this road stretch
23-033-005-677236,23-033-018-810137,Feeder connectivity,Corridor access depends on this road stretch
33-031-004-898735,33-031-002-770404,Feeder connectivity,Corridor access depends on this road stretch
33-031-004-898735,33-031-008-004122,Feeder connectivity,Corridor access depends on this road stretch
27-037-005-386916,27-037-017-497474,Feeder connectivity,Corridor access depends on this road stretch
27-037-005-386916,27-037-010-996219,Feeder connectivity,Corridor access depends on this road stretch
21-026-019-308724,21-026-002-958256,Feeder connectivity,Corridor access depends on this road stretch
21-026-019-308724,21-026-001-357052,Feeder connectivity,Corridor access depends on this road stretch
23-016-018-510973,23-016-011-215124,Feeder connectivity,Corridor access depends on this road stretch
23-016-018-510973,23-016-019-487040,Feeder connectivity,Corridor access depends on this road stretch
21-012-014-065558,21-012-022-745758,Feeder connectivity,Corridor access depends on this road stretch
21-012-014-065558,21-012-011-176514,Feeder connectivity,Corridor access depends on this road stretch
23-016-010-263519,23-016-011-215124,Feeder connectivity,Corridor access depends on this road stretch
23-016-010-263519,23-016-019-487040,Feeder connectivity,Corridor access depends on this road stretch
23-004-011-299727,23-004-020-557776,Feeder connectivity,Corridor access depends on this road stretch
23-004-011-299727,23-004-019-012227,Feeder connectivity,Corridor access depends on this road stretch
09-044-023-942817,09-044-024-422247,Feeder connectivity,Corridor access depends on this road stretch
09-044-023-942817,09-044-016-349452,Feeder connectivity,Corridor access depends on this road stretch
36-027-002-466005,36-027-004-601436,Feeder connectivity,Corridor access depends on this road stretch
36-027-002-466005,36-027-018-414505,Feeder connectivity,Corridor access depends on this road stretch
21-019-023-451112,21-019-014-988271,Feeder connectivity,Corridor access depends on this road stretch
21-019-023-451112,21-019-006-257378,Feeder connectivity,Corridor access depends on this road stretch
09-015-005-629643,09-015-013-819804,Feeder connectivity,Corridor access depends on this road stretch
09-015-005-629643,09-015-010-940913,Feeder connectivity,Corridor access depends on this road stretch
29-022-024-163578,29-022-024-239792,Feeder connectivity,Corridor access depends on this road stretch
29-022-024-163578,29-022-007-575490,Feeder connectivity,Corridor access depends on this road stretch
33-014-015-277839,33-014-011-676436,Feeder connectivity,Corridor access depends on this road stretch
33-014-015-277839,33-014-011-363947,Feeder connectivity,Corridor access depends on this road stretch
33-045-006-087077,33-045-018-529091,Feeder connectivity,Corridor access depends on this road stretch
33-045-006-087077,33-045-004-081690,Feeder connectivity,Corridor access depends on this road stretch
21-026-004-937999,21-026-002-958256,Feeder connectivity,Corridor access depends on this road stretch
21-026-004-937999,21-026-001-357052,Feeder connectivity,Corridor access depends on this road stretch
36-019-012-013398,36-019-009-582253,Feeder connectivity,Corridor access depends on this road stretch
36-019-012-013398,36-019-012-035966,Feeder connectivity,Corridor access depends on this road stretch
36-027-012-620266,36-027-004-601436,Feeder connectivity,Corridor access depends on this road stretch
36-027-012-620266,36-027-018-414505,Feeder connectivity,Corridor access depends on this road stretch
21-012-024-199195,21-012-022-745758,Feeder connectivity,Corridor access depends on this road stretch
21-012-024-199195,21-012-011-176514,Feeder connectivity,Corridor access depends on this road stretch
27-037-024-592138,27-037-017-497474,Feeder connectivity,Corridor access depends on this road stretch
27-037-024-592138,27-037-010-996219,Feeder connectivity,Corridor access depends on this road stretch
22-002-010-708428,22-002-009-541227,Feeder connectivity,Corridor access depends on this road stretch
22-002-010-708428,22-002-008-335658,Feeder connectivity,Corridor access depends on this road stretch
36-019-011-773030,36-019-009-582253,Feeder connectivity,Corridor access depends on this road stretch
36-019-011-773030,36-019-012-035966,Feeder connectivity,Corridor access depends on this road stretch
29-022-023-972424,29-022-024-239792,Feeder connectivity,Corridor access depends on this road stretch
29-022-023-972424,29-022-007-575490,Feeder connectivity,Corridor access depends on this road stretch
33-031-016-364585,33-031-002-770404,Feeder connectivity,Corridor access depends on this road stretch
33-031-016-364585,33-031-008-004122,Feeder connectivity,Corridor access depends on this road stretch
21-012-011-872921,21-012-022-745758,Feeder connectivity,Corridor access depends on this road stretch
21-012-011-872921,21-012-011-176514,Feeder connectivity,Corridor access depends on this road stretch
29-018-021-168743,29-018-006-070607,Feeder connectivity,Corridor access depends on this road stretch
29-018-021-168743,29-018-008-164220,Feeder connectivity,Corridor access depends on this road stretch
21-005-007-293405,21-005-016-212873,Feeder connectivity,Corridor access depends on this road stretch
21-005-007-293405,21-005-001-250927,Feeder connectivity,Corridor access depends on this road stretch
09-031-010-811785,09-031-004-338225,Feeder connectivity,Corridor access depends on this road stretch
09-031-010-811785,09-031-009-301397,Feeder connectivity,Corridor access depends on this road stretch
21-012-004-001947,21-012-022-745758,Feeder connectivity,Corridor access depends on this road stretch
21-012-004-001947,21-012-011-176514,Feeder connectivity,Corridor access depends on this road stretch
22-014-017-221878,22-014-018-128587,Feeder connectivity,Corridor access depends on this road stretch
22-014-017-221878,22-014-013-822415,Feeder connectivity,Corridor access depends on this road stretch
