ulpin,project_name,project_type,implementing_agency,state,district,taluk,village,latitude,longitude,notification_date,expected_completion_date,actual_completion_date,land_area_acres,no_affected_families,no_landowners,ownership_fragmentation_index,ownership_dispute_flag,no_ownership_disputes,title_clarity_status,circle_rate_per_acre_lakhs,compensation_fair_value_lakhs,compensation_amount_sanctioned_lakhs,compensation_amount_disbursed_lakhs,compensation_disbursed_pct,compensation_gap_pct,compensation_dispute_flag,no_compensation_appeals,no_legal_disputes,legal_dispute_stage,court_stay_flag,days_since_dispute_filed,rehab_plan_approved_flag,rehab_progress_pct,resettlement_site_ready_flag,no_families_resettled,approval_stage,days_in_current_stage,no_pending_clearances,environmental_clearance_status,forest_clearance_status,is_closed_project,historical_delay_days,is_delayed,delay_stage,assigned_field_officer_id,latent_risk_audit,planned_duration_days,top_driver_audit
27-013-020-089628,Airport Expansion - Pune Stretch 7,Airport Expansion,Airports Authority of India,Maharashtra,Pune,Pune West,Tarapur,18.54903,73.96546,2021-01-19,2022-12-08,2024-02-02,18.6,29,20,1.075,True,5,Disputed,87.95,3271.74,2728.45,1009.53,37.0,16.61,True,2,7,Stayed by Court,True,86,True,53.1,False,11,Compensation Disbursement,221,3,Applied,Not Required,True,421,True,Legal Dispute,MH-LAO-2023-0454,0.6915,688,Legal Dispute
27-001-014-085914,Power Transmission - Mumbai Suburban Stretch 3,Power Transmission,POWERGRID,Maharashtra,Mumbai Suburban,Mumbai Suburban East,Lakshmipura,18.99018,72.9667,2019-11-06,2021-03-06,2022-03-06,6.5,15,11,1.692,True,6,Disputed,86.59,1125.67,742.91,207.27,27.9,34.0,True,4,11,Filed,False,216,True,50.9,False,7,SIA Completed,31,3,Pending,Pending,True,365,True,Ownership / Title,MH-LAO-2022-0603,0.7395,486,Ownership / Title
09-031-007-719117,Irrigation Canal - Varanasi Stretch 8,Irrigation Canal,State Irrigation Dept,Uttar Pradesh,Varanasi,Varanasi South,Chandrapalli,25.42641,82.92805,2022-04-27,2024-03-29,2024-03-29,38.3,62,49,1.279,False,0,Clear,7.2,1103.04,899.46,85.45,9.5,18.46,True,2,0,None,False,0,True,14.8,False,6,Compensation Disbursement,38,3,Pending,Pending,True,0,False,Not Applicable,UP-LAO-2025-0822,0.3773,702,Administrative Approval
22-002-003-644798,Industrial Corridor - Raipur Stretch 7,Industrial Corridor,State Industrial Corp,Chhattisgarh,Raipur,Raipur North,Ganeshpura,21.12327,81.48842,2023-08-15,2025-04-01,2025-09-25,27.7,69,38,1.372,True,1,Clear,84.87,4701.8,2420.68,1587.97,65.6,48.52,True,2,1,Filed,False,286,True,25.0,True,12,R&R Implementation,115,2,Pending,Applied,True,177,True,Administrative Approval,CG-LAO-2022-0755,0.566,595,Administrative Approval
23-028-021-863404,Industrial Corridor - Jabalpur Stretch 1,Industrial Corridor,State Industrial Corp,Madhya Pradesh,Jabalpur,Jabalpur West,Uttanahalli,23.21518,79.98101,2021-09-24,2023-01-07,2023-07-06,19.3,36,27,1.399,True,4,Partial,12.01,927.17,715.91,240.55,33.6,22.79,True,1,4,Filed,False,438,True,11.9,True,3,R&R Implementation,9,3,Pending,Not Required,True,180,True,Ownership / Title,MP-LAO-2022-0917,0.598,470,Ownership / Title
09-044-019-875747,Power Transmission - Prayagraj Stretch 3,Power Transmission,POWERGRID,Uttar Pradesh,Prayagraj,Prayagraj West,Shivnagar,25.32305,81.82981,2021-11-23,2023-08-12,2023-08-12,7.5,11,11,1.467,False,0,Clear,31.6,948.0,443.77,429.13,96.7,53.19,True,7,2,Stayed by Court,True,328,False,11.5,True,1,Award Declared,39,3,Not Required,Obtained,True,0,False,Not Applicable,UP-LAO-2023-0576,0.4259,627,Rehabilitation (R&R)
09-031-008-581607,State Highway - Varanasi Stretch 5,State Highway,State PWD,Uttar Pradesh,Varanasi,Varanasi South,Narsapur,25.36339,83.01158,2023-07-05,2025-10-04,2026-08-03,39.0,64,56,1.436,True,8,Disputed,20.96,3269.76,2992.27,1448.26,48.4,8.49,False,0,9,Under Hearing,False,160,True,36.1,True,17,Award Declared,28,4,Pending,Pending,True,303,True,Ownership / Title,UP-LAO-2025-0822,0.6936,822,Ownership / Title
27-037-023-113282,Airport Expansion - Nashik Stretch 7,Airport Expansion,Airports Authority of India,Maharashtra,Nashik,Nashik West,Yellapur,19.97519,73.87935,2020-06-23,2022-10-01,2022-10-01,35.8,60,49,1.369,True,1,Clear,7.08,1013.86,728.36,350.34,48.1,28.16,True,5,2,Under Hearing,False,13,True,58.7,True,32,Section 11 Notification Issued,90,2,Obtained,Not Required,True,0,False,Not Applicable,MH-LAO-2025-0385,0.4365,830,Legal Dispute
27-001-019-123169,State Highway - Mumbai Suburban Stretch 5,State Highway,State PWD,Maharashtra,Mumbai Suburban,Mumbai Suburban West,Shivnagar,19.28003,72.92296,2020-05-03,2022-08-22,2023-02-03,35.3,47,48,1.36,True,1,Clear,74.24,5241.34,4103.68,726.35,17.7,21.71,True,1,2,Stayed by Court,True,619,False,12.4,False,5,Possession Taken,247,0,Not Required,Not Required,True,165,True,Legal Dispute,MH-LAO-2022-0603,0.5501,841,Legal Dispute
29-022-013-741762,Urban Metro - Belagavi Stretch 4,Urban Metro,Metro Rail Corp,Karnataka,Belagavi,Belagavi East,Kesarpur,15.89014,74.34787,2022-07-22,2024-02-19,2024-02-19,13.3,28,17,1.278,True,2,Clear,9.65,513.38,416.74,355.9,85.4,18.82,False,0,0,None,False,0,False,29.1,False,6,Compensation Disbursement,187,6,Applied,Not Required,True,0,False,Not Applicable,KA-LAO-2025-0488,0.3014,577,Administrative Approval
29-022-007-575490,State Highway - Belagavi Stretch 3,State Highway,State PWD,Karnataka,Belagavi,Belagavi South,Chandrapalli,15.78821,74.50024,2021-04-24,2022-10-22,2023-01-28,63.2,156,86,1.361,False,0,Clear,14.89,3764.19,2258.14,1205.85,53.4,40.01,True,4,1,Stayed by Court,True,148,False,2.2,True,3,Possession Taken,29,1,Pending,Not Required,True,98,True,Rehabilitation (R&R),KA-LAO-2025-0488,0.449,546,Rehabilitation (R&R)
22-018-024-885603,Industrial Corridor - Korba Stretch 4,Industrial Corridor,State Industrial Corp,Chhattisgarh,Korba,Korba West,Zamania,22.48674,82.8184,2019-08-08,2022-05-02,2022-05-02,69.7,136,96,1.377,True,1,Partial,18.18,5068.58,4513.36,1209.58,26.8,10.95,False,0,0,None,False,0,True,46.8,True,50,Possession Taken,6,3,Not Required,Not Required,True,0,False,Not Applicable,CG-LAO-2024-0820,0.3117,998,Rehabilitation (R&R)
09-015-010-415617,Airport Expansion - Kanpur Nagar Stretch 5,Airport Expansion,Airports Authority of India,Uttar Pradesh,Kanpur Nagar,Kanpur Nagar South,Mallapuram,26.52097,80.52691,2020-11-02,2023-02-18,2023-02-18,38.7,88,60,1.55,False,0,Clear,31.36,4854.53,4464.5,3866.26,86.6,8.03,True,2,2,Under Hearing,False,8,True,72.7,False,47,Possession Taken,22,1,Applied,Pending,True,0,False,Not Applicable,UP-LAO-2023-0451,0.3625,838,Legal Dispute
33-023-024-149241,Industrial Corridor - Coimbatore Stretch 3,Industrial Corridor,State Industrial Corp,Tamil Nadu,Coimbatore,Coimbatore West,Zamania,11.21594,76.8682,2020-06-28,2021-12-11,2022-05-10,21.2,23,20,0.943,False,0,Clear,17.09,1449.23,742.15,33.4,4.5,48.79,True,5,2,Filed,False,24,True,75.6,True,12,Award Declared,319,3,Obtained,Obtained,True,150,True,Compensation Disbursal,TN-LAO-2024-0163,0.6056,531,Compensation Disbursal
09-031-010-951761,Industrial Corridor - Varanasi Stretch 4,Industrial Corridor,State Industrial Corp,Uttar Pradesh,Varanasi,Varanasi South,Mallapuram,25.41058,82.91197,2019-09-30,2020-12-22,2021-02-03,20.4,75,42,2.059,True,2,Partial,20.98,1711.97,992.35,526.94,53.1,42.03,True,5,3,Under Hearing,False,195,True,74.6,True,53,Award Declared,5,2,Applied,Obtained,True,43,True,Compensation Disbursal,UP-LAO-2025-0822,0.4909,449,Compensation Disbursal
22-014-016-234546,Power Transmission - Bilaspur Stretch 7,Power Transmission,POWERGRID,Chhattisgarh,Bilaspur,Bilaspur East,Nandgaon,22.10327,82.21263,2023-04-18,2025-06-03,2026-02-11,23.0,69,43,1.87,True,3,Partial,13.07,1202.44,1007.16,234.67,23.3,16.24,True,2,5,Under Hearing,False,20,False,12.4,False,6,Award Declared,171,3,Applied,Not Required,True,253,True,Legal Dispute,CG-LAO-2022-0241,0.6026,777,Legal Dispute
33-023-008-109672,State Highway - Coimbatore Stretch 7,State Highway,State PWD,Tamil Nadu,Coimbatore,Coimbatore South,Narsapur,10.94321,77.01344,2019-05-12,2021-03-30,2021-03-30,38.6,97,53,1.373,True,1,Clear,25.07,3870.81,3416.42,2603.31,76.2,11.74,True,1,1,Filed,False,175,False,22.1,True,19,Section 11 Notification Issued,255,1,Not Required,Not Required,True,0,False,Not Applicable,TN-LAO-2024-0163,0.3466,688,Rehabilitation (R&R)
09-044-018-871523,Irrigation Canal - Prayagraj Stretch 4,Irrigation Canal,State Irrigation Dept,Uttar Pradesh,Prayagraj,Prayagraj East,Raghunathpur,25.67479,81.90853,2020-09-02,2022-07-09,2022-07-09,22.8,71,41,1.798,False,0,Partial,31.21,2846.35,1921.02,1571.39,81.8,32.51,False,0,2,Filed,False,30,False,9.1,True,4,Award Declared,80,2,Applied,Obtained,True,0,False,Not Applicable,UP-LAO-2023-0576,0.3976,675,Rehabilitation (R&R)
21-026-001-357052,State Highway - Sambalpur Stretch 7,State Highway,State PWD,Odisha,Sambalpur,Sambalpur North,Rampur,21.64426,83.97417,2020-10-23,2022-09-05,2022-09-05,68.9,191,104,1.509,True,2,Clear,11.01,3034.36,2874.91,2026.81,70.5,5.25,True,1,0,None,False,0,True,40.6,False,59,R&R Implementation,235,1,Obtained,Obtained,True,0,False,Not Applicable,OD-LAO-2024-0281,0.1837,682,Rehabilitation (R&R)
22-009-021-420306,Urban Metro - Durg Stretch 2,Urban Metro,Metro Rail Corp,Chhattisgarh,Durg,Durg West,Uttanahalli,21.23448,81.22628,2023-06-18,2024-10-20,2025-05-06,15.6,39,23,1.474,True,10,Disputed,14.28,891.07,579.18,265.26,45.8,35.0,True,1,4,Filed,False,108,True,28.9,False,9,Possession Taken,49,0,Not Required,Not Required,True,198,True,Ownership / Title,CG-LAO-2024-0988,0.597,490,Ownership / Title
33-023-012-727675,Airport Expansion - Coimbatore Stretch 7,Airport Expansion,Airports Authority of India,Tamil Nadu,Coimbatore,Coimbatore South,Jaitpur,11.01388,77.05195,2019-12-04,2021-02-12,2021-12-13,22.7,54,37,1.63,True,7,Partial,26.78,2431.62,1415.44,642.61,45.4,41.79,True,2,5,Under Hearing,False,44,True,22.2,True,9,Compensation Disbursement,469,1,Applied,Applied,True,304,True,Legal Dispute,TN-LAO-2024-0163,0.6542,436,Legal Dispute
21-026-008-652571,Industrial Corridor - Sambalpur Stretch 3,Industrial Corridor,State Industrial Corp,Odisha,Sambalpur,Sambalpur South,Narsapur,21.44017,83.98212,2021-10-06,2024-04-02,2024-11-02,196.7,355,257,1.307,True,4,Partial,10.02,7883.74,6082.23,2122.7,34.9,22.85,True,3,5,Filed,False,21,True,12.3,False,38,Compensation Disbursement,15,3,Not Required,Not Required,True,214,True,Rehabilitation (R&R),OD-LAO-2024-0281,0.6295,909,Rehabilitation (R&R)
27-025-016-374850,Industrial Corridor - Nagpur Stretch 2,Industrial Corridor,State Industrial Corp,Maharashtra,Nagpur,Nagpur East,Nandgaon,21.21309,79.08512,2021-12-30,2023-06-04,2023-06-04,40.6,69,60,1.478,True,1,Clear,68.66,5575.19,5114.96,2051.1,40.1,8.25,False,0,0,None,False,0,False,7.1,True,3,Section 11 Notification Issued,192,4,Not Required,Not Required,True,0,False,Not Applicable,MH-LAO-2025-0718,0.3642,521,Rehabilitation (R&R)
21-019-021-832932,Railway Line - Ganjam Stretch 7,Railway Line,Indian Railways,Odisha,Ganjam,Ganjam West,Uttanahalli,19.37219,84.85381,2019-06-14,2021-05-19,2021-05-19,80.6,218,133,1.65,True,2,Partial,20.56,6628.54,3561.62,502.19,14.1,46.27,False,0,1,Filed,False,43,True,77.3,True,129,R&R Implementation,17,1,Not Required,Not Required,True,0,False,Not Applicable,OD-LAO-2025-0784,0.5018,705,Compensation Disbursal
27-013-023-565388,Railway Line - Pune Stretch 6,Railway Line,Indian Railways,Maharashtra,Pune,Pune West,Yellapur,18.47259,73.87114,2023-09-10,2025-11-25,2027-03-19,13.3,30,22,1.654,True,6,Disputed,60.02,1596.53,805.15,347.82,43.2,49.57,True,4,5,Stayed by Court,True,420,True,54.5,True,12,Section 11 Notification Issued,525,3,Not Required,Not Required,True,479,True,Ownership / Title,MH-LAO-2023-0454,0.8772,807,Ownership / Title
36-011-003-331349,Industrial Corridor - Warangal Stretch 3,Industrial Corridor,State Industrial Corp,Telangana,Warangal,Warangal North,Ganeshpura,18.02815,79.52959,2023-02-20,2024-11-07,2024-11-07,8.2,35,21,2.561,False,0,Clear,15.27,500.86,397.48,47.7,12.0,20.64,True,1,1,Filed,False,382,True,42.4,True,13,Section 11 Notification Issued,235,2,Obtained,Not Required,True,0,False,Not Applicable,TG-LAO-2021-0919,0.4078,626,Compensation Disbursal
23-028-003-529604,Irrigation Canal - Jabalpur Stretch 3,Irrigation Canal,State Irrigation Dept,Madhya Pradesh,Jabalpur,Jabalpur North,Ganeshpura,23.10557,80.06954,2020-04-05,2022-07-13,2022-12-06,31.2,51,45,1.442,True,2,Partial,6.58,821.18,393.7,148.82,37.8,52.06,True,2,3,Filed,False,150,True,62.4,True,22,R&R Implementation,78,4,Obtained,Not Required,True,146,True,Compensation Disbursal,MP-LAO-2022-0917,0.5537,829,Compensation Disbursal
36-027-014-339807,Urban Metro - Nizamabad Stretch 5,Urban Metro,Metro Rail Corp,Telangana,Nizamabad,Nizamabad East,Lakshmipura,18.7879,78.20672,2022-07-02,2024-12-15,2024-12-15,69.1,126,87,1.259,False,0,Clear,8.73,2412.97,2091.54,1731.8,82.8,13.32,True,3,0,None,False,0,True,31.6,True,31,Award Declared,126,2,Obtained,Not Required,True,0,False,Not Applicable,TG-LAO-2021-0135,0.1787,897,Rehabilitation (R&R)
23-028-004-804705,State Highway - Jabalpur Stretch 8,State Highway,State PWD,Madhya Pradesh,Jabalpur,Jabalpur North,Bhimnagar,23.35893,79.99379,2021-04-20,2023-06-28,2023-06-28,45.5,58,57,1.253,True,1,Partial,29.98,5456.36,3679.72,2734.03,74.3,32.56,True,1,2,Resolved,False,348,False,29.9,True,14,Possession Taken,379,0,Applied,Obtained,True,0,False,Not Applicable,MP-LAO-2022-0917,0.4154,799,Compensation Disbursal
33-045-018-540013,Power Transmission - Tiruchirappalli Stretch 8,Power Transmission,POWERGRID,Tamil Nadu,Tiruchirappalli,Tiruchirappalli East,Raghunathpur,10.75305,78.73878,2020-03-11,2022-10-02,2022-10-02,38.3,46,45,1.175,True,4,Partial,8.32,1274.62,962.77,859.75,89.3,24.47,True,3,2,Filed,False,137,False,27.2,False,12,Award Declared,125,3,Applied,Not Required,True,0,False,Not Applicable,TN-LAO-2022-0490,0.4213,935,Ownership / Title
22-014-011-342646,State Highway - Bilaspur Stretch 7,State Highway,State PWD,Chhattisgarh,Bilaspur,Bilaspur South,Amrapur,21.9074,82.10293,2020-04-11,2022-03-03,2022-03-03,34.2,90,59,1.725,True,2,Clear,10.6,1450.08,1005.8,569.28,56.6,30.64,False,0,0,None,False,0,True,18.3,False,12,Award Declared,123,6,Not Required,Pending,True,0,False,Not Applicable,CG-LAO-2022-0241,0.3447,691,Administrative Approval
29-007-020-650428,State Highway - Bengaluru Urban Stretch 8,State Highway,State PWD,Karnataka,Bengaluru Urban,Bengaluru Urban West,Tarapur,13.02624,77.60607,2021-09-22,2024-06-12,2024-11-10,18.6,40,30,1.613,True,4,Partial,43.96,1635.31,572.36,230.09,40.2,65.0,True,2,1,Under Hearing,False,228,True,57.9,False,19,Possession Taken,96,2,Applied,Not Required,True,151,True,Compensation Disbursal,KA-LAO-2024-0628,0.5988,994,Compensation Disbursal
21-012-018-603940,Railway Line - Cuttack Stretch 8,Railway Line,Indian Railways,Odisha,Cuttack,Cuttack East,Raghunathpur,20.51148,85.90226,2020-03-06,2022-08-26,2022-08-26,47.4,91,63,1.329,True,1,Partial,17.22,3264.91,2066.79,1729.9,83.7,36.7,True,4,1,Under Hearing,False,43,True,60.6,False,45,Possession Taken,31,0,Applied,Not Required,True,0,False,Not Applicable,OD-LAO-2021-0890,0.3105,903,Legal Dispute
36-019-008-919095,Industrial Corridor - Karimnagar Stretch 3,Industrial Corridor,State Industrial Corp,Telangana,Karimnagar,Karimnagar South,Narsapur,18.37889,79.10638,2020-02-16,2021-05-13,2021-09-04,56.8,100,83,1.461,False,0,Partial,12.41,2819.55,1871.56,449.17,24.0,33.62,True,4,3,Filed,False,101,False,23.3,False,22,Possession Taken,34,1,Not Required,Obtained,True,114,True,Legal Dispute,TG-LAO-2024-0235,0.5291,452,Legal Dispute
27-013-018-313330,National Highway - Pune Stretch 5,National Highway,NHAI,Maharashtra,Pune,Pune East,Raghunathpur,18.44998,73.85617,2023-07-19,2024-09-26,2024-09-26,9.1,16,11,1.209,False,0,Clear,60.73,1105.29,898.51,495.08,55.1,18.71,False,0,0,None,False,0,False,37.4,False,4,R&R Implementation,124,3,Obtained,Not Required,True,0,False,Not Applicable,MH-LAO-2023-0454,0.2302,435,Rehabilitation (R&R)
23-028-018-777122,Urban Metro - Jabalpur Stretch 2,Urban Metro,Metro Rail Corp,Madhya Pradesh,Jabalpur,Jabalpur East,Raghunathpur,23.17272,79.99687,2023-01-31,2024-06-18,2024-06-18,67.1,181,103,1.535,False,0,Clear,26.46,7101.86,5376.66,3742.16,69.6,24.29,True,2,0,None,False,0,True,50.7,True,85,Section 11 Notification Issued,13,6,Obtained,Not Required,True,0,False,Not Applicable,MP-LAO-2022-0917,0.302,504,Administrative Approval
22-002-008-923294,Irrigation Canal - Raipur Stretch 5,Irrigation Canal,State Irrigation Dept,Chhattisgarh,Raipur,Raipur South,Narsapur,21.12895,81.7413,2023-02-02,2025-08-23,2025-08-23,79.7,107,110,1.38,False,0,Clear,77.51,12355.09,9574.15,7534.86,78.7,22.51,True,2,3,Filed,False,342,True,30.5,True,32,Possession Taken,106,2,Applied,Applied,True,0,False,Not Applicable,CG-LAO-2022-0755,0.3685,933,Legal Dispute
33-045-021-629421,Urban Metro - Tiruchirappalli Stretch 3,Urban Metro,Metro Rail Corp,Tamil Nadu,Tiruchirappalli,Tiruchirappalli West,Uttanahalli,10.72436,78.79193,2020-10-29,2023-04-23,2023-04-23,43.6,128,68,1.56,False,0,Clear,12.97,2261.97,1280.94,189.58,14.8,43.37,True,2,2,Resolved,False,93,True,76.5,False,85,Section 11 Notification Issued,3,0,Applied,Not Required,True,0,False,Not Applicable,TN-LAO-2022-0490,0.4547,906,Compensation Disbursal
23-028-021-103247,Power Transmission - Jabalpur Stretch 1,Power Transmission,POWERGRID,Madhya Pradesh,Jabalpur,Jabalpur West,Uttanahalli,23.21501,80.00474,2022-09-19,2024-12-18,2024-12-18,53.8,157,99,1.84,False,0,Clear,24.85,5347.72,4601.69,2664.38,57.9,13.95,False,0,1,Stayed by Court,True,131,True,16.7,False,18,Section 11 Notification Issued,81,2,Not Required,Applied,True,0,False,Not Applicable,MP-LAO-2022-0917,0.411,821,Rehabilitation (R&R)
23-033-018-810137,National Highway - Gwalior Stretch 1,National Highway,NHAI,Madhya Pradesh,Gwalior,Gwalior East,Raghunathpur,26.1944,78.07491,2020-01-01,2021-06-24,2021-06-24,8.8,22,15,1.705,True,2,Clear,12.26,431.55,321.94,149.38,46.4,25.4,True,1,1,Under Hearing,False,138,True,47.4,True,10,Section 11 Notification Issued,140,2,Applied,Not Required,True,0,False,Not Applicable,MP-LAO-2024-0467,0.3742,540,Compensation Disbursal
29-018-017-640746,Industrial Corridor - Mysuru Stretch 6,Industrial Corridor,State Industrial Corp,Karnataka,Mysuru,Mysuru East,Peddapalli,12.44873,76.63511,2021-02-05,2023-02-20,2023-11-06,23.9,43,26,1.088,True,3,Partial,21.4,2045.84,1865.23,501.75,26.9,8.83,False,0,3,Under Hearing,False,84,True,25.6,True,9,Section 11 Notification Issued,184,4,Pending,Not Required,True,259,True,Administrative Approval,KA-LAO-2021-0461,0.6109,745,Administrative Approval
23-028-013-717386,Irrigation Canal - Jabalpur Stretch 4,Irrigation Canal,State Irrigation Dept,Madhya Pradesh,Jabalpur,Jabalpur East,Kesarpur,23.32235,80.05824,2022-11-16,2024-01-21,2024-05-15,71.2,148,105,1.475,True,1,Clear,23.09,6576.03,5071.99,2713.51,53.5,22.87,True,1,2,Filed,False,246,True,32.0,False,46,Compensation Disbursement,83,1,Obtained,Not Required,True,115,True,Rehabilitation (R&R),MP-LAO-2022-0917,0.4795,431,Rehabilitation (R&R)
09-044-007-958966,Airport Expansion - Prayagraj Stretch 3,Airport Expansion,Airports Authority of India,Uttar Pradesh,Prayagraj,Prayagraj South,Chandrapalli,25.38642,81.73155,2019-02-15,2021-05-11,2021-05-11,32.7,52,42,1.284,True,1,Clear,12.31,1610.15,1551.21,279.22,18.0,3.66,True,1,1,Filed,False,234,True,37.5,False,16,Section 11 Notification Issued,33,4,Obtained,Not Required,True,0,False,Not Applicable,UP-LAO-2023-0576,0.4068,816,Rehabilitation (R&R)
21-005-006-988546,Urban Metro - Khordha Stretch 7,Urban Metro,Metro Rail Corp,Odisha,Khordha,Khordha North,Devgaon,20.248,85.67734,2020-09-28,2023-04-01,2023-04-08,11.0,36,22,2.0,True,1,Clear,22.61,994.84,592.17,198.97,33.6,40.48,True,3,1,Stayed by Court,True,9,True,90.2,False,23,Award Declared,230,3,Obtained,Not Required,True,7,False,Not Applicable,OD-LAO-2022-0873,0.4638,915,Compensation Disbursal
29-022-015-460690,Urban Metro - Belagavi Stretch 7,Urban Metro,Metro Rail Corp,Karnataka,Belagavi,Belagavi East,Madhavgarh,15.80879,74.46564,2022-09-30,2025-02-26,2025-06-29,37.9,88,53,1.398,True,1,Partial,27.37,4149.29,2672.74,1459.32,54.6,35.59,True,5,2,Stayed by Court,True,187,True,53.8,True,36,Award Declared,82,1,Applied,Applied,True,123,True,Legal Dispute,KA-LAO-2025-0488,0.5081,880,Legal Dispute
23-028-017-616704,Industrial Corridor - Jabalpur Stretch 2,Industrial Corridor,State Industrial Corp,Madhya Pradesh,Jabalpur,Jabalpur East,Peddapalli,23.12573,79.83817,2020-07-10,2022-07-22,2023-03-01,14.8,37,28,1.892,False,0,Clear,7.36,435.71,152.5,110.11,72.2,65.0,True,4,4,Stayed by Court,True,341,True,67.1,True,24,Section 11 Notification Issued,326,2,Not Required,Obtained,True,222,True,Legal Dispute,MP-LAO-2022-0917,0.5821,742,Legal Dispute
23-004-011-004994,Airport Expansion - Bhopal Stretch 1,Airport Expansion,Airports Authority of India,Madhya Pradesh,Bhopal,Bhopal South,Amrapur,23.04216,77.37624,2023-01-02,2024-10-14,2025-07-31,61.4,132,90,1.466,True,4,Disputed,65.17,8002.88,6570.91,2707.21,41.2,17.89,True,3,4,Under Hearing,False,93,True,59.7,True,64,Section 11 Notification Issued,57,5,Not Required,Applied,True,290,True,Ownership / Title,MP-LAO-2023-0365,0.6738,651,Ownership / Title
29-009-012-200674,Irrigation Canal - Tumakuru Stretch 8,Irrigation Canal,State Irrigation Dept,Karnataka,Tumakuru,Tumakuru South,Jaitpur,13.21734,77.05088,2019-11-02,2022-05-07,2022-05-07,13.7,28,21,1.533,False,0,Clear,19.59,1073.53,1067.88,227.46,21.3,0.53,False,0,0,None,False,0,True,72.0,False,18,Compensation Disbursement,24,4,Applied,Not Required,True,0,False,Not Applicable,KA-LAO-2023-0611,0.2924,917,Administrative Approval
27-025-008-576012,Power Transmission - Nagpur Stretch 1,Power Transmission,POWERGRID,Maharashtra,Nagpur,Nagpur South,Narsapur,20.93024,78.94579,2023-06-06,2025-04-07,2025-08-31,16.3,31,29,1.779,True,2,Partial,57.98,1890.15,1680.9,709.34,42.2,11.07,True,1,3,Under Hearing,False,323,True,60.0,True,15,Possession Taken,48,1,Obtained,Pending,True,146,True,Legal Dispute,MH-LAO-2025-0718,0.4776,671,Legal Dispute
27-001-019-688441,State Highway - Mumbai Suburban Stretch 4,State Highway,State PWD,Maharashtra,Mumbai Suburban,Mumbai Suburban West,Shivnagar,19.28223,72.90097,2022-01-03,2024-07-19,2024-07-19,45.9,82,68,1.481,True,2,Clear,73.89,6783.1,5731.12,1140.49,19.9,15.51,True,3,0,None,False,0,False,34.5,True,24,R&R Implementation,131,5,Not Required,Not Required,True,0,False,Not Applicable,MH-LAO-2022-0603,0.3482,928,Rehabilitation (R&R)
22-014-003-570750,Urban Metro - Bilaspur Stretch 7,Urban Metro,Metro Rail Corp,Chhattisgarh,Bilaspur,Bilaspur North,Ganeshpura,22.03167,81.99471,2023-11-18,2026-06-07,2026-06-07,40.6,110,60,1.478,True,1,Clear,7.75,1258.6,902.44,847.39,93.9,28.3,True,3,1,Filed,False,160,True,73.0,False,78,Compensation Disbursement,68,2,Not Required,Obtained,True,0,False,Not Applicable,CG-LAO-2022-0241,0.268,932,Legal Dispute
23-016-008-480112,Power Transmission - Indore Stretch 3,Power Transmission,POWERGRID,Madhya Pradesh,Indore,Indore South,Narsapur,22.72882,75.92705,2023-06-26,2025-08-13,2025-08-13,166.4,205,222,1.334,False,0,Clear,58.27,19392.26,17727.0,15156.58,85.5,8.59,True,1,1,Under Hearing,False,96,True,84.5,True,169,Award Declared,81,0,Pending,Obtained,True,0,False,Not Applicable,MP-LAO-2021-0254,0.2403,779,Legal Dispute
27-037-002-577568,Industrial Corridor - Nashik Stretch 3,Industrial Corridor,State Industrial Corp,Maharashtra,Nashik,Nashik North,Kothapalli,19.95971,73.88392,2021-01-19,2022-11-12,2022-11-12,42.3,45,49,1.158,False,0,Clear,28.32,4791.74,2968.54,1665.35,56.1,38.05,True,4,0,None,False,0,True,38.5,False,12,Award Declared,19,1,Obtained,Obtained,True,0,False,Not Applicable,MH-LAO-2025-0385,0.2794,662,Compensation Disbursal
21-026-015-668150,State Highway - Sambalpur Stretch 1,State Highway,State PWD,Odisha,Sambalpur,Sambalpur East,Madhavgarh,21.41955,83.92901,2023-04-20,2025-07-01,2025-12-09,20.2,40,36,1.782,True,1,Partial,6.93,559.94,392.16,263.53,67.2,29.96,True,5,2,Under Hearing,False,159,False,9.9,True,3,SIA Completed,71,5,Applied,Not Required,True,161,True,Rehabilitation (R&R),OD-LAO-2024-0281,0.4871,803,Rehabilitation (R&R)
23-028-015-262626,Urban Metro - Jabalpur Stretch 5,Urban Metro,Metro Rail Corp,Madhya Pradesh,Jabalpur,Jabalpur East,Madhavgarh,23.11616,79.78864,2021-07-25,2023-05-29,2023-05-29,60.5,86,90,1.488,False,0,Clear,13.29,3216.18,2112.92,1521.3,72.0,34.3,True,3,0,None,False,0,True,49.8,True,35,R&R Implementation,31,4,Applied,Applied,True,0,False,Not Applicable,MP-LAO-2022-0917,0.3021,673,Administrative Approval
27-001-024-519408,State Highway - Mumbai Suburban Stretch 7,State Highway,State PWD,Maharashtra,Mumbai Suburban,Mumbai Suburban West,Zamania,19.26393,72.90664,2023-10-03,2025-02-11,2025-02-11,13.4,27,27,2.015,False,0,Clear,58.82,1576.38,1178.67,681.27,57.8,25.23,True,2,2,Resolved,False,265,True,78.8,True,15,Compensation Disbursement,64,3,Pending,Not Required,True,0,False,Not Applicable,MH-LAO-2022-0603,0.3404,497,Administrative Approval
